"", "Model Other", "Model War", "Model War Retrained"
"Levensthein Distance (Char.)", "10", "90", "84"
"Levensthein Distance (Words)", "8", "71", "62"
"Word Error Rate (WER in %)", "1.941", "17.233", "15.012"
"Char. Error Rate (CER in %)", "0.413", "3.72", "3.466"
"Word Accuracy (Wacc in %)", "98.058", "82.766", "84.987"
"Hits", "2414", "2334", "2344"
"Substitutions", "3", "66", "63"
"Deletions", "2", "19", "16"
"Insertions", "5", "5", "5"
"Total char. in reference", "2419", "2419", "2423"
"Total char. in prediction", "2422", "2405", "2412"
