"", "Model War", "Model Other", "Model War Retrained"
"Levensthein Distance (Char.)", "11", "33", "8"
"Levensthein Distance (Words)", "9", "23", "7"
"Word Error Rate (WER in %)", "5.202", "13.294", "4.046"
"Char. Error Rate (CER in %)", "1.038", "3.116", "0.755"
"Word Accuracy (Wacc in %)", "94.797", "86.705", "95.953"
"Hits", "1048", "1028", "1051"
"Substitutions", "10", "24", "7"
"Deletions", "1", "7", "1"
"Insertions", "0", "2", "0"
"Total char. in reference", "1059", "1059", "1059"
"Total char. in prediction", "1058", "1054", "1058"
