"", "Model Other", "Model War", "Model War Retrained"
"Levensthein Distance (Char.)", "9", "65", "61"
"Levensthein Distance (Words)", "6", "37", "37"
"Word Error Rate (WER in %)", "3.947", "24.342", "24.342"
"Char. Error Rate (CER in %)", "1.032", "7.454", "6.995"
"Word Accuracy (Wacc in %)", "96.052", "75.657", "75.657"
"Hits", "866", "811", "814"
"Substitutions", "5", "61", "54"
"Deletions", "1", "0", "4"
"Insertions", "3", "4", "3"
"Total char. in reference", "872", "872", "872"
"Total char. in prediction", "874", "876", "871"
