"", "Model War", "Model Other", "Model War Retrained"
"Levensthein Distance (Char.)", "8", "6", "9"
"Levensthein Distance (Words)", "8", "4", "8"
"Word Error Rate (WER in %)", "2.807", "1.403", "2.807"
"Char. Error Rate (CER in %)", "0.477", "0.357", "0.536"
"Word Accuracy (Wacc in %)", "97.192", "98.596", "97.192"
"Hits", "1669", "1671", "1668"
"Substitutions", "7", "6", "9"
"Deletions", "1", "0", "0"
"Insertions", "0", "0", "0"
"Total char. in reference", "1677", "1677", "1677"
"Total char. in prediction", "1676", "1677", "1677"
