"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"LE", "273", "Fr", "357", "de", "6569"
"ER", "235", "Mo", "343", "le", "5894"
"RE", "203", "Pr", "321", "en", "4726"
"PA", "174", "Et", "301", "re", "4090"
"LA", "172", "Ma", "284", "es", "3665"
"BU", "171", "Le", "278", "qu", "3473"
"TL", "158", "Je", "262", "la", "3347"
"NE", "153", "Il", "240", "nt", "3269"
"RI", "142", "La", "239", "ur", "2729"
"NA", "140", "Al", "229", "pa", "2708"
"ON", "131", "Co", "223", "co", "2656"
"DE", "117", "Pa", "207", "on", "2608"
"XX", "110", "Ce", "195", "us", "2524"
"TT", "109", "Vo", "193", "is", "2459"
"UR", "107", "Un", "187", "et", "2453"
"ES", "98", "No", "182", "ce", "2438"
"RK", "97", "Bu", "176", "er", "2428"
"YO", "95", "Mu", "161", "ns", "2388"
"TI", "95", "Go", "125", "se", "2241"
"CO", "93", "Sa", "114", "ai", "2153"
"NS", "91", "En", "108", "an", "2151"
"EN", "88", "Ni", "102", "tr", "2016"
"AN", "84", "Lo", "96", "in", "1968"
"ET", "84", "Na", "96", "me", "1959"
"AT", "77", "Qu", "96", "au", "1816"
"TR", "75", "An", "91", "te", "1764"
"IE", "75", "So", "91", "ma", "1692"
"IN", "73", "Am", "89", "ti", "1675"
"IS", "71", "Se", "89", "un", "1672"
"PR", "71", "On", "88", "po", "1662"
"CA", "71", "Ch", "85", "no", "1653"
"LL", "66", "SÉ", "82", "pr", "1589"
"SE", "58", "Be", "78", "ra", "1527"
"TA", "58", "Ca", "77", "ne", "1420"
"NT", "58", "Au", "73", "vo", "1367"
"IO", "57", "Eu", "70", "it", "1316"
"MA", "56", "To", "68", "il", "1313"
"CE", "52", "Cr", "68", "so", "1296"
"SO", "51", "El", "67", "nd", "1233"
"TE", "51", "De", "65", "ie", "1214"
"NI", "49", "Si", "65", "ri", "1185"
"RA", "45", "Ha", "64", "to", "1178"
"ST", "44", "Dé", "63", "ut", "1159"
"PO", "44", "Ro", "60", "at", "1148"
"TO", "42", "Po", "58", "sa", "1145"
"LI", "41", "Bo", "58", "ch", "1120"
"FR", "41", "Cl", "55", "pe", "1100"
"SA", "40", "As", "54", "av", "1066"
"PE", "40", "Do", "53", "mo", "1046"
"AI", "40", "Ja", "50", "pl", "1035"
"CI", "40", "Di", "45", "fa", "1034"
"QU", "39", "Su", "44", "dé", "1004"
"OI", "39", "Dr", "44", "ir", "989"
"NO", "38", "Mi", "43", "ou", "989"
"AM", "38", "Em", "42", "su", "960"
"AU", "37", "Ru", "40", "el", "922"
"CH", "37", "Ré", "39", "si", "917"
"MO", "36", "Pe", "38", "rt", "900"
"IL", "35", "Ju", "38", "ta", "897"
"EL", "35", "Ba", "38", "ré", "887"
"GE", "35", "Fl", "37", "io", "881"
"UN", "34", "Ne", "36", "li", "871"
"RN", "34", "Sé", "36", "em", "871"
"BO", "34", "Me", "35", "ll", "869"
"AR", "33", "Af", "35", "mm", "848"
"US", "33", "Re", "35", "eu", "842"
"DA", "31", "Gé", "34", "ss", "840"
"GU", "30", "In", "33", "di", "811"
"ND", "30", "Br", "33", "du", "800"
"IT", "29", "Tr", "33", "st", "785"
"CR", "28", "Wi", "32", "vi", "736"
"MM", "28", "Pi", "31", "ve", "732"
"DO", "27", "Ge", "31", "ar", "731"
"ME", "27", "Av", "31", "ue", "708"
"IX", "27", "Ap", "29", "da", "700"
"PP", "26", "Gr", "28", "ci", "696"
"VI", "25", "Gu", "28", "ét", "683"
