"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"ER", "23", "Le", "31", "de", "442"
"BU", "19", "Et", "30", "le", "407"
"TL", "19", "Mo", "27", "en", "365"
"LE", "16", "Fr", "26", "re", "302"
"RE", "14", "Al", "25", "es", "271"
"PA", "12", "La", "25", "qu", "265"
"NA", "9", "Je", "24", "nt", "241"
"NE", "8", "Pr", "24", "la", "239"
"ON", "8", "Vo", "21", "pa", "216"
"RI", "8", "Ma", "20", "co", "212"
"RK", "7", "Co", "17", "us", "200"
"TR", "7", "Mu", "17", "is", "186"
"TT", "7", "Pa", "16", "er", "184"
"XX", "7", "Ni", "15", "ur", "181"
"YO", "7", "No", "15", "et", "180"
"ET", "6", "Ce", "13", "on", "179"
"TI", "6", "Ca", "12", "ce", "178"
"AC", "5", "Bu", "11", "me", "173"
"DE", "5", "Il", "11", "ns", "173"
"EN", "5", "Go", "10", "in", "164"
"AL", "4", "Be", "9", "an", "155"
"CA", "4", "Ge", "9", "tr", "142"
"LA", "4", "En", "8", "ai", "135"
"MA", "4", "Ju", "8", "no", "134"
"AN", "3", "On", "8", "un", "132"
"IN", "3", "Un", "8", "ma", "130"
"IR", "3", "Ch", "7", "se", "129"
"IT", "3", "Dé", "7", "ti", "124"
"ND", "3", "Qu", "7", "au", "123"
"NT", "3", "Ho", "6", "po", "116"
"PO", "3", "Cl", "5", "te", "115"
"RL", "3", "Ja", "5", "mo", "107"
"AT", "2", "Lo", "5", "ne", "107"
"CI", "2", "Po", "5", "so", "107"
"CO", "2", "SÉ", "5", "pr", "105"
"CR", "2", "So", "5", "vo", "101"
"EM", "2", "Am", "4", "it", "99"
"FO", "2", "De", "4", "il", "96"
"GE", "2", "Dr", "4", "ri", "96"
"GI", "2", "Ha", "4", "sa", "95"
"GN", "2", "Na", "4", "nd", "94"
"IE", "2", "Ne", "4", "ra", "93"
"LL", "2", "Pu", "4", "ie", "91"
"LO", "2", "Ro", "4", "to", "87"
"ME", "2", "Sé", "4", "pe", "84"
"MI", "2", "To", "4", "ut", "84"
"NO", "2", "Vi", "4", "dé", "79"
"NS", "2", "An", "3", "ou", "79"
"QU", "2", "Ap", "3", "rt", "79"
"SE", "2", "Au", "3", "av", "76"
"ST", "2", "Bo", "3", "pl", "74"
"TA", "2", "Br", "3", "at", "70"
"UE", "2", "El", "3", "fa", "70"
"UN", "2", "Fé", "3", "su", "69"
"VA", "2", "Fo", "3", "ir", "68"
"VI", "2", "Ke", "3", "ch", "65"
"XI", "2", "Li", "3", "mm", "63"
"AD", "1", "Mi", "3", "ve", "63"
"AF", "1", "Rh", "3", "ss", "62"
"AI", "1", "Sa", "3", "ue", "62"
"AU", "1", "Ta", "3", "io", "61"
"BE", "1", "TÉ", "3", "st", "60"
"CE", "1", "Wa", "3", "du", "59"
"CU", "1", "Ar", "2", "na", "59"
"DO", "1", "Ba", "2", "em", "58"
"DU", "1", "Bi", "2", "je", "58"
"EA", "1", "DÉ", "2", "ré", "58"
"EG", "1", "Du", "2", "di", "57"
"EU", "1", "Es", "2", "da", "56"
"FA", "1", "Eu", "2", "si", "56"
"FR", "1", "Gr", "2", "ta", "56"
"GL", "1", "Tr", "2", "ll", "55"
"HR", "1", "Yo", "2", "té", "53"
"HT", "1", "Ao", "1", "vi", "53"
"ID", "1", "Aô", "1", "eu", "52"
"IL", "1", "At", "1", "mi", "51"
"IM", "1", "Ay", "1", "gu", "49"
"IQ", "1", "Bl", "1", "ni", "49"
"IS", "1", "Cr", "1", "al", "46"
"IX", "1", "D9", "1", "el", "46"
"LI", "1", "Da", "1", "ar", "45"
"MB", "1", "Di", "1", "oi", "43"
"MO", "1", "Do", "1", "rs", "43"
"OC", "1", "Ec", "1", "és", "42"
"PE", "1", "Fa", "1", "ge", "42"
"PL", "1", "Gu", "1", "li", "42"
"PR", "1", "He", "1", "pu", "41"
"PU", "1", "It", "1", "bl", "40"
"RA", "1", "Jo", "1", "bi", "38"
"RD", "1", "Lé", "1", "ét", "38"
"RM", "1", "Me", "1", "jo", "38"
"RN", "1", "Mê", "1", "uv", "38"
"RS", "1", "Oc", "1", "nc", "36"
"RT", "1", "Or", "1", "ac", "35"
"RU", "1", "Ot", "1", "éc", "35"
"SA", "1", "Pi", "1", "fe", "35"
"SL", "1", "Pl", "1", "mp", "35"
"SO", "1", "Re", "1", "ci", "34"
"SU", "1", "Ré", "1", "ec", "34"
"TU", "1", "RÉ", "1", "ex", "33"
"UG", "1", "Ru", "1", "rr", "33"
"UI", "1", "Se", "1", "ic", "32"
"US", "1", "Si", "1", "or", "32"
"UX", "1", "Ti", "1", "am", "31"
"VO", "1", "Ve", "1", "do", "31"
"", "", "", "", "fi", "30"
"", "", "", "", "ol", "30"
"", "", "", "", "rl", "30"
"", "", "", "", "tt", "30"
"", "", "", "", "ab", "29"
"", "", "", "", "as", "29"
"", "", "", "", "rd", "29"
"", "", "", "", "ux", "29"
"", "", "", "", "fo", "28"
"", "", "", "", "gn", "28"
"", "", "", "", "id", "28"
"", "", "", "", "im", "28"
"", "", "", "", "ap", "27"
"", "", "", "", "lu", "27"
"", "", "", "", "mb", "27"
"", "", "", "", "va", "27"
"", "", "", "", "cr", "26"
"", "", "", "", "nn", "26"
"", "", "", "", "ct", "25"
"", "", "", "", "dr", "25"
"", "", "", "", "ix", "25"
"", "", "", "", "ul", "25"
"", "", "", "", "gr", "24"
"", "", "", "", "ts", "24"
"", "", "", "", "ca", "23"
"", "", "", "", "lo", "23"
"", "", "", "", "mê", "22"
"", "", "", "", "ad", "21"
"", "", "", "", "sé", "21"
"", "", "", "", "vr", "21"
"", "", "", "", "ée", "20"
"", "", "", "", "êt", "20"
"", "", "", "", "ga", "20"
"", "", "", "", "nu", "20"
"", "", "", "", "af", "19"
"", "", "", "", "ag", "19"
"", "", "", "", "ay", "19"
"", "", "", "", "cu", "19"
"", "", "", "", "né", "19"
"", "", "", "", "ro", "19"
"", "", "", "", "ng", "18"
"", "", "", "", "rv", "18"
"", "", "", "", "ér", "17"
"", "", "", "", "op", "17"
"", "", "", "", "ui", "17"
"", "", "", "", "he", "16"
"", "", "", "", "sc", "16"
"", "", "", "", "up", "16"
"", "", "", "", "ys", "16"
"", "", "", "", "bo", "15"
"", "", "", "", "fr", "15"
"", "", "", "", "iq", "15"
"", "", "", "", "ju", "15"
"", "", "", "", "mé", "15"
"", "", "", "", "rm", "15"
"", "", "", "", "br", "14"
"", "", "", "", "ça", "14"
"", "", "", "", "of", "14"
"", "", "", "", "rc", "14"
"", "", "", "", "cl", "13"
"", "", "", "", "ez", "13"
