"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUTL", "17", "Pari", "36", "pour", "194"
"VRAI", "12", "Prés", "28", "tion", "145"
"YORK", "8", "Fran", "27", "comm", "120"
"LETT", "7", "Dota", "23", "tout", "103"
"PARI", "7", "Mais", "22", "dans", "97"
"TION", "6", "Lebe", "21", "plus", "97"
"TANT", "3", "Séna", "21", "avec", "85"
"ADEL", "2", "Butl", "18", "nous", "82"
"CANT", "2", "Cord", "17", "bien", "75"
"COMM", "2", "Cail", "16", "ment", "75"
"CONC", "2", "Murr", "16", "vous", "72"
"CONS", "2", "Mons", "15", "mais", "69"
"EAUX", "2", "Cons", "14", "fait", "63"
"ESTO", "2", "Mans", "14", "elle", "62"
"FILS", "2", "Nous", "14", "leur", "62"
"HOMM", "2", "Flèc", "13", "sans", "56"
"LLES", "2", "Nich", "13", "emen", "54"
"MANS", "2", "Elle", "12", "tous", "54"
"PRUD", "2", "Esto", "12", "cont", "51"
"SART", "2", "Préf", "12", "même", "49"
"SWAR", "2", "Prof", "12", "avai", "46"
"URNE", "2", "Cham", "11", "étai", "46"
"XXXX", "2", "Comt", "11", "notr", "46"
"AINE", "1", "Conc", "11", "cons", "45"
"ALES", "1", "Gouv", "11", "comp", "42"
"ALEX", "1", "Etat", "10", "élec", "41"
"AMBA", "1", "Euro", "10", "part", "41"
"ANDE", "1", "Sain", "10", "repr", "41"
"APPE", "1", "Sart", "10", "guer", "38"
"ARET", "1", "Boul", "9", "tant", "38"
"ARIS", "1", "Dépa", "9", "dont", "36"
"ASSE", "1", "Géné", "9", "gran", "36"
"ATIE", "1", "SÉNA", "9", "fair", "35"
"ATIO", "1", "Tout", "9", "jour", "35"
"BARO", "1", "Unis", "9", "autr", "33"
"BLIN", "1", "Votr", "9", "fran", "33"
"BOUL", "1", "Aprè", "8", "seul", "33"
"CAIL", "1", "Baro", "8", "iden", "32"
"CAIS", "1", "Cett", "8", "sont", "32"
"CAST", "1", "Clem", "8", "cett", "30"
"CIPA", "1", "Créa", "8", "conc", "30"
"CONV", "1", "Janv", "8", "être", "30"
"DAND", "1", "Paul", "8", "pays", "30"
"DOTA", "1", "Répu", "8", "ence", "29"
"ECLA", "1", "Vous", "8", "esse", "29"
"ECTI", "1", "Alle", "7", "heur", "29"
"EFRE", "1", "Amér", "7", "temp", "29"
"ENNE", "1", "Dépu", "7", "pass", "28"
"ERGE", "1", "Farg", "7", "rien", "28"
"ERSE", "1", "Nati", "7", "inte", "27"
"ETTR", "1", "Pier", "7", "ours", "27"
"EVAR", "1", "Asse", "6", "pers", "27"
"EXAM", "1", "Chât", "6", "quel", "27"
"FARG", "1", "Déce", "6", "aprè", "26"
"FAUT", "1", "Ducr", "6", "onne", "26"
"FERI", "1", "Fert", "6", "atio", "25"
"FIAN", "1", "Lich", "6", "enco", "25"
"FLEC", "1", "Lude", "6", "entr", "25"
"FOER", "1", "Mini", "6", "cher", "24"
"FONT", "1", "Nico", "6", "conf", "24"
"FRAN", "1", "Nove", "6", "deux", "24"
"GERL", "1", "Quel", "6", "ésen", "24"
"GIAF", "1", "Scot", "6", "peti", "24"
"GIDE", "1", "Adel", "5", "teur", "24"
"GIGO", "1", "Albe", "5", "très", "24"
"GODA", "1", "Beau", "5", "géné", "23"
"GURA", "1", "Bour", "5", "ique", "23"
"HABI", "1", "Brio", "5", "avan", "22"
"HOIS", "1", "Cala", "5", "coup", "22"
"HUGH", "1", "Cent", "5", "ceux", "21"
"ILIT", "1", "Comi", "5", "dire", "21"
"ILLE", "1", "Gigo", "5", "donc", "21"
"INAU", "1", "Inte", "5", "donn", "21"
"ISLA", "1", "Mair", "5", "fami", "21"
"JAUD", "1", "Mame", "5", "ilia", "21"
"JOUR", "1", "Mont", "5", "pres", "21"
"LAIN", "1", "Voil", "5", "sera", "21"
"LEJE", "1", "Wall", "5", "touj", "21"
"LICH", "1", "York", "5", "trou", "21"
"MARG", "1", "Ains", "4", "auss", "20"
"MISS", "1", "Angl", "4", "avon", "20"
"MOFF", "1", "Carn", "4", "beau", "20"
"MORA", "1", "Coll", "4", "eurs", "20"
"MORO", "1", "Cong", "4", "ieur", "20"
"MOSQ", "1", "Dima", "4", "lles", "20"
"MOUT", "1", "Henr", "4", "votr", "20"
"MUNI", "1", "Herr", "4", "ains", "19"
"NIER", "1", "Heur", "4", "dévo", "19"
"NIPP", "1", "Hugh", "4", "fois", "19"
"NTHE", "1", "Juil", "4", "moin", "19"
"OLAN", "1", "Loir", "4", "trop", "19"
"ONAL", "1", "Lond", "4", "atte", "18"
"ORBI", "1", "Mada", "4", "avoi", "18"
"ORDI", "1", "Mard", "4", "çais", "18"
"OUES", "1", "Miss", "4", "cour", "18"
"PARE", "1", "Moli", "4", "faut", "18"
"PATR", "1", "Nipp", "4", "inté", "18"
"PERE", "1", "Nord", "4", "prop", "18"
"PEUP", "1", "Plus", "4", "puis", "18"
"PLAN", "1", "Poin", "4", "ques", "18"
"RALE", "1", "Reim", "4", "rest", "18"
"RAPP", "1", "Soci", "4", "rtem", "18"
"RARD", "1", "Talh", "4", "suis", "18"
"REDL", "1", "Tous", "4", "trav", "18"
"RMAI", "1", "Unio", "4", "acco", "17"
"RUYS", "1", "Amba", "3", "agne", "17"
"SAIN", "1", "Bigo", "3", "amis", "17"
"SANG", "1", "Bolo", "3", "asse", "17"
"SENA", "1", "Bret", "3", "aura", "17"
"SHOT", "1", "Brod", "3", "camp", "17"
"SSAD", "1", "Cela", "3", "cant", "17"
"STER", "1", "Cerc", "3", "cell", "17"
"TENB", "1", "Chan", "3", "ente", "17"
"THOM", "1", "Char", "3", "erne", "17"
"TIVE", "1", "Cler", "3", "ière", "17"
"TOCR", "1", "Comm", "3", "impo", "17"
"TORI", "1", "Croi", "3", "lais", "17"
"TOTA", "1", "Curi", "3", "nomb", "17"
"TTRE", "1", "Dans", "3", "parl", "17"
"UNES", "1", "Droi", "3", "pens", "17"
"WALL", "1", "Emil", "3", "prem", "17"
"WELL", "1", "Empe", "3", "proc", "17"
"", "", "Enfi", "3", "quan", "17"
"", "", "Foer", "3", "réac", "17"
"", "", "Fres", "3", "soit", "17"
"", "", "Gerl", "3", "succ", "17"
"", "", "Goda", "3", "voir", "17"
"", "", "Gran", "3", "aill", "16"
"", "", "Haye", "3", "alle", "16"
"", "", "Isla", "3", "elet", "16"
"", "", "Jama", "3", "euse", "16"
"", "", "Just", "3", "laux", "16"
"", "", "Léon", "3", "main", "16"
"", "", "Louv", "3", "prés", "16"
"", "", "Lund", "3", "répu", "16"
"", "", "Maye", "3", "reux", "16"
"", "", "Mlle", "3", "serv", "16"
"", "", "Myro", "3", "ance", "15"
"", "", "Paix", "3", "arri", "15"
"", "", "Pend", "3", "conv", "15"
"", "", "Quoi", "3", "dema", "15"
"", "", "Russ", "3", "fils", "15"
"", "", "Sabl", "3", "leme", "15"
"", "", "Same", "3", "malg", "15"
"", "", "Shot", "3", "mati", "15"
"", "", "Sous", "3", "mond", "15"
"", "", "Suéd", "3", "ndre", "15"
"", "", "Thom", "3", "pend", "15"
"", "", "Vice", "3", "port", "15"
"", "", "Voic", "3", "pouv", "15"
"", "", "Aisn", "2", "préc", "15"
"", "", "Alba", "2", "prép", "15"
"", "", "Alex", "2", "rend", "15"
"", "", "Andr", "2", "sion", "15"
"", "", "Atte", "2", "sous", "15"
"", "", "Belg", "2", "tour", "15"
"", "", "Bien", "2", "able", "14"
"", "", "Boch", "2", "admi", "14"
"", "", "Brow", "2", "avez", "14"
"", "", "Brûl", "2", "conn", "14"
"", "", "Brux", "2", "emai", "14"
"", "", "Chac", "2", "exce", "14"
"", "", "Cinq", "2", "ible", "14"
"", "", "Clém", "2", "ient", "14"
"", "", "Conl", "2", "impr", "14"
"", "", "Corn", "2", "lend", "14"
"", "", "Davi", "2", "orga", "14"
"", "", "Délé", "2", "quoi", "14"
"", "", "Depl", "2", "somm", "14"
"", "", "Deux", "2", "accu", "13"
"", "", "Déva", "2", "affe", "13"
"", "", "Divi", "2", "aire", "13"
"", "", "Ensu", "2", "alor", "13"
"", "", "Font", "2", "auta", "13"
"", "", "Foua", "2", "blic", "13"
"", "", "Foye", "2", "cand", "13"
"", "", "Gare", "2", "cela", "13"
"", "", "Guer", "2", "choi", "13"
"", "", "Guil", "2", "cond", "13"
"", "", "Hano", "2", "depu", "13"
"", "", "Hask", "2", "disc", "13"
"", "", "Hera", "2", "égal", "13"
"", "", "Jeud", "2", "essi", "13"
"", "", "Juin", "2", "fall", "13"
"", "", "Land", "2", "honn", "13"
"", "", "Leva", "2", "ianc", "13"
"", "", "Malg", "2", "idat", "13"
"", "", "Mali", "2", "indi", "13"
"", "", "Maré", "2", "mont", "13"
"", "", "Mens", "2", "nouv", "13"
"", "", "Merc", "2", "olas", "13"
"", "", "Mess", "2", "reco", "13"
"", "", "Muni", "2", "rité", "13"
"", "", "Octo", "2", "urne", "13"
"", "", "Olan", "2", "chez", "12"
"", "", "Orie", "2", "délé", "12"
"", "", "Pain", "2", "diff", "12"
"", "", "Pape", "2", "jeun", "12"
"", "", "Parl", "2", "jusq", "12"
"", "", "Pont", "2", "lité", "12"
"", "", "Pour", "2", "nair", "12"
"", "", "Puis", "2", "poss", "12"
"", "", "Régi", "2", "pren", "12"
"", "", "Rena", "2", "publ", "12"
"", "", "René", "2", "répo", "12"
"", "", "Rest", "2", "resp", "12"
"", "", "Révo", "2", "semb", "12"
"", "", "Rist", "2", "soir", "12"
"", "", "Rome", "2", "voul", "12"
"", "", "Ruhr", "2", "abor", "11"
"", "", "Sang", "2", "aris", "11"
"", "", "Sans", "2", "ciel", "11"
"", "", "Sarr", "2", "cipa", "11"
"", "", "Sill", "2", "croi", "11"
"", "", "Sorb", "2", "enti", "11"
"", "", "Tell", "2", "ions", "11"
"", "", "Treu", "2", "long", "11"
"", "", "Trus", "2", "mbre", "11"
"", "", "Tuck", "2", "midi", "11"
"", "", "Univ", "2", "ndan", "11"
"", "", "Vend", "2", "nomm", "11"
"", "", "Vill", "2", "onal", "11"
"", "", "Vive", "2", "plei", "11"
"", "", "Acca", "1", "pris", "11"
"", "", "Admi", "1", "reme", "11"
"", "", "Agen", "1", "rieu", "11"
"", "", "Ajam", "1", "sant", "11"
"", "", "Ajou", "1", "scru", "11"
"", "", "Août", "1", "séan", "11"
"", "", "Arde", "1", "tell", "11"
"", "", "Arro", "1", "tena", "11"
"", "", "Assi", "1", "usem", "11"
"", "", "Aust", "1", "vien", "11"
"", "", "Auto", "1", "adve", "10"
"", "", "Autr", "1", "anci", "10"
"", "", "Avan", "1", "auto", "10"
"", "", "Avec", "1", "aven", "10"
"", "", "Baco", "1", "chos", "10"
"", "", "Bara", "1", "circ", "10"
"", "", "Berg", "1", "ctue", "10"
"", "", "Bern", "1", "deva", "10"
"", "", "Bess", "1", "espr", "10"
"", "", "Bibl", "1", "expl", "10"
"", "", "Bloc", "1", "gués", "10"
"", "", "Bonn", "1", "mblé", "10"
"", "", "Bord", "1", "offi", "10"
"", "", "Bray", "1", "parc", "10"
