"tokens","occurrences"
"st","703"
"po","560"
"do","552"
"se","505"
"na","499"
"by","455"
"li","450"
"ch","438"
"pr","437"
"ne","432"
"ko","417"
"př","386"
"je","382"
"ov","328"
"že","320"
"ní","320"
"ho","305"
"me","300"
"an","296"
"ně","293"
"en","291"
"to","290"
"le","288"
"er","283"
"js","277"
"ra","275"
"za","272"
"dn","262"
"od","252"
"lo","251"
"al","250"
"ro","229"
"la","228"
"ve","222"
"ta","215"
"te","213"
"ná","213"
"ce","210"
"or","209"
"no","206"
"em","204"
"bo","201"
"ka","199"
"kt","197"
"de","190"
"ou","187"
"ti","185"
"at","184"
"va","183"
"tr","182"
"el","180"
"re","180"
"sp","174"
"vo","173"
"vě","173"
"os","172"
"rá","169"
"di","166"
"ni","165"
"vy","162"
"ob","158"
"ly","157"
"dě","157"
"sl","152"
"ře","147"
"ké","146"
"mo","143"
"sk","142"
"tá","139"
"il","136"
"če","135"
"mu","135"
"ic","134"
"án","132"
"ma","131"
"mi","129"
"us","128"
"ci","127"
"ku","125"
"da","121"
"ze","121"
"ed","121"
"mě","120"
"hl","115"
"ji","113"
"in","111"
"av","110"
"ny","109"
"tě","109"
"ěl","108"
"tí","107"
"es","106"
"ži","105"
"íc","104"
"hr","103"
"ac","101"
"ad","99"
"št","97"
"be","93"
"zí","93"
"kd","93"
"dl","92"
"ck","91"
"zp","91"
"tu","91"
"ký","90"
"as","90"
"ec","88"
"uj","87"
"si","87"
"Pr","87"
"it","86"
"pl","86"
"bu","86"
"tn","85"
"jí","84"
"át","84"
"né","84"
"kr","84"
"vn","83"
"vš","83"
"vá","83"
"ot","82"
"lé","81"
"ýc","81"
"up","81"
"lá","80"
"vi","80"
"ří","79"
"Po","78"
"ol","78"
"ja","76"
"Te","75"
"vý","75"
"tv","74"
"pa","73"
"sa","71"
"dá","70"
"ím","70"
"op","70"
"Ra","69"
"hn","69"
"zv","69"
"ác","69"
"zd","68"
"ar","68"
"yn","66"
"ty","64"
"zn","63"
"ká","63"
"ab","63"
"ns","62"
"ek","62"
"sv","62"
"sí","61"
"ok","61"
"ví","61"
"ší","61"
"ij","60"
"ky","59"
"ev","59"
"má","58"
"vl","58"
"cí","58"
"ln","58"
"ál","57"
"ls","57"
"et","57"
"nu","57"
"sc","57"
"nc","56"
"až","56"
"so","55"
"sn","55"
"ak","55"
"ný","54"
"vé","54"
"sd","52"
"br","52"
"še","52"
"ád","51"
"jn","50"
"is","50"
"kl","50"
"ut","50"
"oj","49"
"az","49"
"au","49"
"co","49"
"dů","49"
