"tokens","occurrences"
"der","223"
"for","204"
"til","185"
"Jød","165"
"For","159"
"den","153"
"det","104"
"lig","101"
"ell","93"
"ind","88"
"ere","87"
"isk","83"
"med","81"
"nin","79"
"els","78"
"som","76"
"gen","75"
"jød","71"
"paa","70"
"end","68"
"ing","67"
"har","66"
"ern","61"
"ikk","60"
"ste","56"
"fra","52"
"men","49"
"and","48"
"nde","48"
"saa","48"
"hed","48"
"ved","47"
"Ind","46"
"ska","45"
"del","45"
"maa","45"
"ord","45"
"sig","43"
"son","43"
"ige","41"
"Per","41"
"ter","39"
"Til","39"
"ion","38"
"hol","38"
"dig","37"
"Gen","36"
"Bes","36"
"ske","36"
"ble","35"
"Sta","35"
"vær","35"
"lse","35"
"ver","35"
"mer","35"
"kom","32"
"ove","32"
"ret","32"
"ger","32"
"sam","32"
"ser","32"
"eta","32"
"ren","31"
"eft","31"
"und","31"
"tem","31"
"eld","31"
"sen","30"
"var","30"
"før","30"
"sta","30"
"vis","30"
"vil","30"
"tys","29"
"ent","29"
"Eje","29"
"kan","28"
"bes","28"
"nge","28"
"ude","28"
"her","27"
"era","27"
"hvi","27"
"kun","27"
"bli","27"
"tag","27"
"mme","27"
"ans","27"
"dis","27"
"eli","26"
"mel","26"
"man","25"
"øre","24"
"Det","24"
"all","24"
"min","23"
"ede","23"
"lad","23"
"vet","23"
"mue","23"
"rne","22"
"led","22"
"mod","22"
"fre","22"
"sær","22"
"ler","21"
"vid","21"
"ker","21"
"Hen","21"
"ndo","21"
"off","20"
"des","20"
"hvo","20"
"Der","20"
"ber","20"
"skr","20"
"lin","20"
"Ægt","20"
"nem","19"
"ini","19"
"ang","19"
"str","19"
"att","19"
"Anm","19"
"ære","18"
"ist","18"
"ven","18"
"gaa","18"
"Ret","18"
"bet","18"
"hel","18"
"Lan","18"
"lli","18"
"giv","18"
"gæl","18"
"ers","17"
"tet","17"
"ale","17"
"lke","17"
"syn","17"
"læg","17"
"hør","17"
"lie","17"
"ogs","17"
"dan","17"
"Mis","17"
"Rig","16"
"Und","16"
"tru","16"
"tni","16"
