"tokens","ocurrences"
"en","3865"
"er","3349"
"de","3059"
"ch","2546"
"te","2348"
"st","2274"
"th","2264"
"in","2261"
"an","2131"
"re","2130"
"be","1915"
"me","1797"
"ne","1752"
"ge","1744"
"se","1697"
"un","1664"
"le","1604"
"na","1486"
"to","1374"
"di","1371"
"es","1351"
"li","1338"
"el","1303"
"at","1286"
"al","1281"
"ni","1254"
"ha","1220"
"ve","1215"
"is","1145"
"ei","1139"
"ti","1129"
"po","1101"
"do","1093"
"on","1087"
"mi","1055"
"nd","1043"
"pr","1028"
"ra","1017"
"si","987"
"et","976"
"of","970"
"he","963"
"da","957"
"ed","948"
"ta","942"
"wi","935"
"vo","916"
"ma","915"
"ko","907"
"ic","891"
"tt","882"
"or","877"
"ng","869"
"rt","845"
"la","837"
"it","835"
"em","820"
"ke","817"
"ho","810"
"nt","797"
"wa","796"
"ar","792"
"ss","781"
"sc","776"
"lt","725"
"no","719"
"ka","717"
"by","716"
"fo","710"
"au","709"
"ie","707"
"so","696"
"ll","695"
"we","684"
"je","642"
"nn","625"
"tr","609"
"sz","602"
"ns","598"
"ro","592"
"ri","581"
"rd","578"
"sk","565"
"zu","540"
"za","537"
"lo","524"
"od","516"
"rs","516"
"ce","515"
"ze","515"
"sa","512"
"va","510"
"hr","508"
"ov","503"
"os","489"
"vi","489"
"ad","473"
"nk","472"
"il","471"
"ak","465"
"az","463"
"us","461"
"mo","458"
"as","447"
"sp","443"
"co","441"
"Je","436"
"ly","433"
"ou","431"
"ci","430"
"ig","429"
"ek","428"
"om","428"
"pa","425"
"és","421"
"ut","418"
"eg","416"
"gy","413"
"mu","404"
"ac","404"
"af","401"
"bo","395"
"ab","391"
"ba","390"
"př","389"
"ot","389"
"pe","379"
"že","375"
"dn","371"
"am","369"
"tu","367"
"kt","363"
"ní","361"
"fe","361"
"ob","358"
"hi","354"
"mm","354"
"ld","342"
"ny","341"
"ag","339"
"ga","338"
"ec","334"
"ca","334"
"án","333"
"hl","323"
"ki","319"
"rn","318"
"fr","317"
"ck","316"
"Be","316"
"Th","312"
"ol","308"
"wo","307"
"Ge","306"
"sh","300"
"ně","298"
"js","292"
"wh","292"
"ná","290"
"im","287"
"id","283"
"op","283"
"nu","279"
"De","278"
"fa","277"
"tá","274"
"io","269"
"ts","267"
"sl","262"
"br","261"
"bl","260"
"su","260"
"Ma","258"
"rm","256"
"bu","255"
"ws","250"
"St","249"
"fi","249"
"ia","246"
"ku","245"
"rá","245"
"ké","245"
"ls","241"
"ok","240"
"ez","239"
"gi","234"
"rk","234"
"ow","234"
"ur","232"
"Au","230"
"lá","226"
"wu","226"
"Pr","220"
"In","219"
"du","217"
"rg","217"
"Di","217"
"gr","216"
"ru","215"
"ev","215"
"pl","213"
"Ta","213"
"go","212"
"kr","211"
"ik","210"
"Fr","209"
"ap","206"
"vy","205"
"zi","203"
"bi","202"
"av","200"
"dt","200"
"Na","200"
"ty","200"
"ht","198"
"Fo","198"
"dr","197"
"né","197"
"og","196"
"ud","195"
"Sc","194"
"Po","193"
"nc","192"
"ál","190"
"Ha","190"
"če","187"
"ja","186"
"eb","182"
"rc","182"
"át","182"
"rl","181"
"La","181"
"up","177"
"cs","175"
"vě","173"
"tn","172"
"gh","171"
"ul","169"
"Mi","169"
"dl","168"
"té","167"
"hn","167"
"Jø","167"
"má","166"
"tz","164"
"um","164"
"Le","163"
"kö","163"
"rb","162"
"vá","161"
"pi","161"
"ue","159"
"Wi","159"
"lu","158"
"dě","157"
"ih","157"
"oz","154"
"Bu","154"
"eh","154"
"An","154"
"Re","153"
"lg","153"
"ft","152"
"mb","152"
"gu","151"
"mp","151"
"Br","150"
"iv","150"
"kl","149"
"fu","149"
"Da","149"
"ře","147"
"ln","146"
"rr","145"
"hu","144"
"lk","143"
"gt","143"
"vé","142"
"zn","141"
"ai","141"
"Si","141"
"rz","140"
"gl","140"
"íc","139"
"tl","139"
"zo","139"
"ün","138"
"Me","136"
"Ve","134"
"Ra","133"
"ži","133"
"gs","133"
"fü","133"
"zy","131"
"He","130"
"Co","130"
"SS","129"
"ds","129"
"lé","128"
"ej","128"
"há","128"
"nz","127"
"ea","126"
"zt","125"
"ct","125"
"ás","123"
"uc","123"
"my","123"
"dz","123"
"We","122"
"Ar","121"
"tv","120"
"mě","120"
"tí","119"
"pu","118"
"oc","118"
"ji","117"
"ae","117"
"zp","116"
"rh","116"
"št","115"
"rf","115"
"ef","115"
"ał","115"
"zd","114"
"pt","114"
"Kr","114"
"Gr","114"
"hw","112"
"Te","110"
"Ko","110"
"So","110"
"tě","109"
"ěl","108"
"uj","108"
"Pe","108"
"Ic","108"
"vn","106"
"yn","106"
"Ru","105"
"Ju","104"
"ýc","103"
"Se","103"
"rü","102"
"cz","102"
"ký","101"
"sn","101"
"sm","100"
"rv","100"
"kd","100"
"ex","99"
"ry","99"
"ir","99"
"lv","99"
"ff","99"
"ór","99"
"Ho","98"
"zí","96"
"uk","96"
"sv","96"
"Ja","96"
"zw","94"
"bb","94"
"vš","93"
"ká","93"
"Mo","93"
"ér","93"
"ah","91"
"Al","91"
"tk","90"
"én","90"
"ye","90"
"zá","89"
"ju","89"
"jø","89"
"Ba","88"
"Wo","88"
"gg","88"
"Pa","87"
"pp","87"
"Un","87"
"Tr","86"
"dá","85"
"jí","85"
"ee","85"
"Du","85"
"ug","85"
