"tokens","occurrences"
"nich","305"
"volt","280"
"eine","254"
"Jews","193"
"wurd","192"
"were","178"
"nach","172"
"spor","170"
"tran","169"
"alle","158"
"Jøde","156"
"that","156"
"dass","150"
"Jewi","149"
"jsme","135"
"kter","132"
"dies","130"
"habe","129"
"hogy","127"
"from","122"
"sich","122"
"noch","122"
"tábo","116"
"tion","114"
"hatt","113"
"this","110"
"elle","109"
"ware","109"
"sche","106"
"with","106"
"auch","102"
"whic","96"
"have","93"
"embe","91"
"mein","88"
"thei","88"
"chen","87"
"mind","86"
"werd","84"
"Lage","82"
"prac","81"
"Ther","81"
"ende","79"
"will","79"
"poli","78"
"jødi","77"
"been","77"
"stra","76"
"komm","76"
"muss","76"
"lich","74"
"aber","74"
"munk","74"
"bylo","73"
"byli","73"
"ment","72"
"ande","71"
"unse","71"
"Comm","69"
"Tere","67"
"jedn","65"
"byly","65"
"esie","65"
"dann","64"
"vers","64"
"unde","64"
"nsta","64"
"durc","64"
"schr","63"
"scho","62"
"ngen","62"
"camp","62"
"gesc","62"
"Tant","62"
"atio","61"
"kell","61"
"viel","61"
"nagy","61"
"byla","60"
"stan","60"
"Pers","60"
"ikke","60"
"hran","59"
"hwit","59"
"Arbe","59"
"Ausc","58"
"ghet","58"
"them","58"
"hier","58"
"Jude","57"
"sind","57"
"schl","57"
"kein","57"
"prov","56"
"über","56"
"sein","55"
"peop","55"
"ther","55"
"jsem","54"
"denn","54"
"they","54"
"unte","54"
"után","54"
"prze","54"
"depo","53"
"kapt","53"
"Nach","52"
"Rako","51"
"přij","51"
"jede","51"
"Gest","51"
"ihre","51"
"Frau","51"
"konn","51"
"ster","50"
"rati","50"
"inte","50"
"oner","50"
"work","50"
"Ruma","49"
"mehr","49"
"osob","48"
"over","48"
"soll","48"
"zprá","47"
"před","47"
"star","47"
"stat","47"
"part","47"
"time","47"
"kann","47"
"ging","47"
"ling","46"
"nder","46"
"któr","46"
"sehr","45"
"Leut","45"
"sděl","44"
"Schu","44"
"Zeit","44"
"Tage","44"
"pers","44"
"este","44"
"krem","44"
"ator","44"
"chte","44"
"wenn","44"
"ttek","44"
"przy","44"
"pres","43"
"jako","43"
"afte","43"
"othe","43"
"dolg","43"
"posl","42"
"isla","42"
"Stat","42"
"mber","42"
"aria","42"
"some","42"
"itte","42"
"dort","42"
"ganz","42"
"Brat","41"
"tage","41"
"inde","41"
"Wien","41"
"into","41"
"thes","41"
"mmen","41"
"woll","41"
"mint","41"
"dost","40"
"entr","40"
"best","40"
"ange","40"
"azut","40"
"mini","39"
"ješt","39"
"neby","39"
"četn","39"
"kteř","39"
"prác","39"
"Gene","39"
"dere","39"
"nian","39"
"Bulg","39"
"Frae","39"
"nkel","39"
"Wohn","39"
"eibe","39"
"tele","38"
"kame","38"
"ktor","38"
"Mart","38"
"Foro","38"
"rdni","38"
"cons","38"
"isch","38"
"ausg","38"
"rako","37"
"prot","37"
"prop","37"
"gros","37"
"Tran","37"
"gest","37"
"wied","37"
"være","37"
"oder","37"
"only","37"
"imme","37"
"Nazi","37"
"wird","37"
"mich","37"
"zsid","37"
"Poli","36"
"vojs","36"
"offi","36"
"befo","36"
"unge","36"
"erst","36"
"Vídn","35"
"něme","35"
"úřad","35"
"oslo","35"
"plyn","35"
"Stra","35"
"scha","35"
"usge","35"
"ever","35"
"more","35"
"also","35"
"rnme","35"
"Haus","35"
"zwei","35"
"Geld","35"
"csak","35"
"szer","35"
"ünke","35"
"napi","35"
"všec","34"
"Kult","34"
"blev","34"
"Form","34"
"ssen","34"
"acco","34"
"Gove","34"
"Mens","34"
"mach","34"
"tels","33"
"fina","33"
"nebo","33"
"ihne","33"
"pros","33"
"blok","33"
"eren","33"
"fore","33"
"lati","33"
"benn","33"
"post","32"
"gene","32"
"take","32"
"vago","32"
"rest","32"
"give","32"
"rend","32"
"orde","32"
"Germ","32"
"appe","32"
"klei","32"
"fahr","32"
"össz","32"
"cejn","31"
"ředi","31"
"ročn","31"
"jsou","31"
"sele","31"
"oboz","31"
"ighe","31"
"lies","31"
"rece","31"
"Gren","31"
"napo","31"
"form","30"
"ovní","30"
"onal","30"
"vala","30"
"ider","30"
"lage","30"
"skal","30"
"esse","30"
"This","30"
"comp","30"
"gett","30"
"erte","30"
"Dies","30"
"abge","30"
"lten","30"
"jüdi","30"
"erha","30"
"azon","30"
"také","29"
"přiš","29"
"hodi","29"
"ženy","29"
"konc","29"
"zína","29"
"děti","29"
"nist","29"
"tysk","29"
"ette","29"
"even","29"
"thre","29"
"allo","29"
"asse","29"
"acht","29"
"auss","29"
"Kind","29"
"Niem","29"
"gehe","29"
"stát","28"
"orga","28"
"Prot","28"
"žido","28"
"stei","28"
"Fran","28"
"erne","28"
"lang","28"
"Best","28"
"wher","28"
"memb","28"
"citi","28"
"eing","28"
"Jahr","28"
"schi","28"
"nasz","28"
"muse","27"
"veli","27"
"doch","27"
"Schw","27"
"erle","27"
"efte","27"
"than","27"
"zurü","27"
"vert","27"
"fuer","27"
"köve","27"
"egés","27"
"néme","27"
"tünk","27"
"česk","26"
"zast","26"
"Lebe","26"
"tová","26"
"nemo","26"
"Land","26"
"Edel","26"
"Ghet","26"
"else","26"
"lige","26"
"ring","26"
"ntli","26"
"nden","26"
"ions","26"
"when","26"
"gebe","26"
"dami","26"
"weil","26"
"etwa","26"
"jetz","26"
"Brie","26"
"tunk","26"
"dzie","26"
"ledn","25"
"noci","25"
"okre","25"
"břez","25"
"tere","25"
"proc","25"
"lett","25"
"plac","25"
"Janu","25"
"ning","25"
"rett","25"
"Herr","25"
"many","25"
"left","25"
"coun","25"
"pass","25"
"call","25"
"woul","25"
"issi","25"
"fuhr","25"
"mert","25"
"tett","25"
"külö","25"
"iśmy","25"
"hlás","24"
"opat","24"
"cest","24"
"obch","24"
"možn","24"
"strá","24"
"eten","24"
"bará","24"
"Klei","24"
"Sach","24"
"ynov","24"
"Deut","24"
"sagt","24"
