"tokens","occurrences"
"volt","280"
"hogy","127"
"munk","74"
"embe","72"
"mind","69"
"nagy","61"
"kell","54"
"után","54"
"kapt","53"
"ttek","44"
"dolg","43"
"mint","41"
"azut","40"
"zsid","37"
"csak","35"
"ünke","35"
"szer","33"
"benn","33"
"napi","33"
"össz","32"
"azon","30"
"ment","28"
"napo","28"
"köve","27"
"egés","27"
"néme","27"
"vago","27"
"tünk","27"
"vala","26"
"tunk","26"
"ette","26"
"tett","25"
"külö","25"
"zett","24"
"gett","24"
"tart","24"
"mert","24"
"vitt","23"
"tudt","23"
"akko","22"
"hely","22"
"csen","22"
"akar","22"
"keny","22"
"vert","22"
"kerü","22"
"magy","22"
"tkez","21"
"blok","21"
"rült","21"
"tott","21"
"otta","21"
"tran","21"
"felv","20"
"őket","20"
"menn","20"
"regg","20"
"bete","20"
"ruhá","20"
"ezek","19"
"jött","19"
"utaz","19"
"rkez","19"
"álla","18"
"elvi","18"
"megs","18"
"élel","18"
"tték","18"
"való","18"
"alat","18"
"háro","18"
"agyo","18"
"amik","17"
"mond","17"
"rend","17"
"appe","17"
"mell","17"
"halo","17"
"kocs","17"
"enbe","17"
"ttak","17"
"viss","17"
"tová","17"
"férf","17"
"Buda","16"
"ekko","16"
"héti","16"
"reke","16"
"talá","16"
"föld","16"
"hwit","16"
"ellá","16"
"ltem","16"
"megé","16"
"halt","16"
"oztu","16"
"kivá","16"
"ahol","16"
"amel","16"
"láge","16"
"szpo","16"
"pest","15"
"vagy","15"
"több","15"
"enni","15"
"leve","15"
"vége","15"
"lage","15"
"közö","15"
"eret","15"
"kezd","14"
"enet","14"
"Ausc","14"
"nehé","14"
"jobb","14"
"jele","14"
"lesz","14"
"lett","14"
"sike","14"
"hozz","13"
"amit","13"
"enge","13"
"Mind","13"
"majd","13"
"állt","13"
"megv","13"
"érke","13"
"elle","13"
"dőrö","13"
"látt","13"
"krem","13"
"előt","13"
"szab","13"
"akik","13"
"amer","13"
"ikai","13"
"Fent","12"
"neve","12"
"egye","12"
"magu","12"
"voln","12"
"Nagy","12"
"rett","12"
"azok","12"
"egyi","12"
"elve","12"
"para","12"
"közb","12"
"halá","12"
"gyer","12"
"este","12"
"szti","12"
"rész","12"
"ndor","12"
"kere","11"
"tudo","11"
"együ","11"
"tégl","11"
"enki","11"
"aszt","11"
"nélk","11"
"bejö","11"
"ztün","11"
"gyen","11"
"kórh","11"
"gyal","11"
"sorb","11"
"zőkö","11"
"rtál","11"
"ozta","11"
"vize","11"
"szám","11"
"atór","11"
"velü","11"
"foly","11"
"beva","11"
"olya","11"
"ugya","11"
"éjje","11"
"úton","11"
"nyil","11"
"érte","11"
"étet","10"
"vére","10"
"édes","10"
"vett","10"
"érté","10"
"csal","10"
"elen","10"
"mara","10"
"nban","10"
"hagy","10"
"lehe","10"
"bírt","10"
"konz","10"
"elke","10"
"néhá","10"
"lőtt","10"
"anyá","10"
"pedi","10"
"utcá","10"
"megk","10"
"term","10"
"Miko","10"
"Pale","10"
"jegy","10"
"vagg","10"
"veze","10"
"álta","10"
"mber","10"
"Édes","9"
"apám","9"
"Kass","9"
"tele","9"
"múlv","9"
"ttün","9"
"agyá","9"
"végi","9"
"soka","9"
"ettü","9"
"maga","9"
"fürd","9"
"megf","9"
"köze","9"
"hide","9"
"szen","9"
"szem","9"
"neki","9"
"szin","9"
"tört","9"
"Bizo","9"
"egys","9"
"fels","9"
"elin","9"
"ütöt","9"
"megm","9"
"ször","9"
"Berg","9"
"gyár","9"
"megt","9"
"utca","9"
"sváj","9"
"isel","9"
"korm","9"
"DEGO","8"
"lakt","8"
"gazd","8"
"bará","8"
"küld","8"
"nekü","8"
"lomb","8"
"belü","8"
"dtek","8"
"kevé","8"
"kato","8"
"visz","8"
"Háro","8"
"holm","8"
"ítot","8"
"bevi","8"
"kony","8"
"ezen","8"
"szol","8"
"ling","8"
"addi","8"
"amíg","8"
"ltak","8"
"nyve","8"
"ágos","8"
"kban","8"
"isme","8"
"adta","8"
"hull","8"
"inne","8"
"lasz","8"
"észe","8"
"tese","8"
"ltün","8"
"haza","8"
"rozt","8"
"járt","8"
"oszt","8"
"hane","8"
"vona","8"
"temp","8"
"képv","8"
"Lutz","8"
"előa","7"
"test","7"
"pénz","7"
"keze","7"
"éltü","7"
"eteg","7"
"nkka","7"
"juto","7"
"Ezek","7"
"órak","7"
"őrök","7"
"nunk","7"
"misz","7"
"borz","7"
"máju","7"
"első","7"
"veré","7"
"feke","7"
"megl","7"
"spor","7"
"lába","7"
"ázba","7"
"tisz","7"
"oros","7"
"egym","7"
"indu","7"
"állo","7"
"ában","7"
"erre","7"
"újbó","7"
"Lage","7"
"taka","7"
"Gond","7"
"semm","7"
"dult","7"
"mezt","7"
"szak","7"
"csík","7"
"kifo","7"
"tere","7"
"goní","7"
"csom","7"
"órát","7"
"lete","7"
"lelő","7"
"hete","7"
"terv","7"
"bánt","7"
"port","7"
"ille","7"
"szól","7"
"Vadá","7"
"külü","7"
"gymi","7"
"nisz","7"
"szob","6"
"megh","6"
"mási","6"
"ntet","6"
"mégi","6"
"rövi","6"
"reng","6"
"Amik","6"
"mező","6"
"felé","6"
"éhez","6"
"tolt","6"
"lako","6"
"épül","6"
"neke","6"
"anny","6"
"váro","6"
"ledt","6"
"közü","6"
"szed","6"
"gtől","6"
"szét","6"
"bomb","6"
"hatá","6"
"eset","6"
"hall","6"
"elfo","6"
"tábo","6"
"etle","6"
"állí","6"
"encs","6"
"cson","6"
"Jegy","6"
"anya","6"
"körü","6"
"erek","6"
"depo","6"
"dött","6"
"kísé","6"
"alig","6"
"szel","6"
"szál","6"
"alka","6"
"mene","6"
"segí","6"
"komm","6"
"senk","6"
"padl","6"
"häft","6"
