"tokens","occurrences"
"ni","208"
"ie","201"
"na","197"
"do","165"
"st","142"
"si","142"
"pr","140"
"zy","129"
"ze","126"
"za","120"
"po","116"
"ał","115"
"ow","112"
"ch","112"
"dz","107"
"sz","107"
"li","106"
"mi","104"
"ci","99"
"cz","97"
"em","92"
"an","90"
"ra","90"
"by","88"
"wi","86"
"ta","81"
"my","77"
"ki","76"
"ro","72"
"wy","71"
"wa","66"
"ko","66"
"al","66"
"ka","63"
"er","62"
"zi","62"
"ac","60"
"ia","60"
"ła","58"
"je","57"
"ic","56"
"el","56"
"rz","56"
"ob","54"
"te","54"
"go","53"
"od","53"
"ło","53"
"kt","53"
"tr","51"
"ma","50"
"ór","49"
"iś","48"
"ów","47"
"zn","45"
"on","45"
"wo","45"
"ej","44"
"zo","44"
"no","44"
"en","44"
"ec","43"
"br","43"
"ed","42"
"pa","41"
"ja","41"
"ak","41"
"ws","40"
"yc","40"
"dn","39"
"da","38"
"to","38"
"le","38"
"śm","37"
"oz","36"
"ty","36"
"in","36"
"ne","36"
"pi","35"
"ły","34"
"Ni","33"
"mu","33"
"es","32"
"łe","31"
"ca","31"
"gd","31"
"os","30"
"bo","30"
"cy","30"
"dr","30"
"cj","30"
"ar","29"
"ny","29"
"eg","29"
"sp","29"
"ku","29"
"as","29"
"Po","28"
"la","28"
"ba","27"
"Pr","27"
"tu","26"
"bi","26"
"at","26"
"oj","26"
"ad","25"
"ga","25"
"ok","25"
"ot","25"
"or","24"
"sk","24"
"re","24"
"et","24"
"zw","24"
"we","24"
"oc","23"
"uc","23"
"ry","23"
"że","23"
"am","22"
"ił","22"
"gr","21"
"lk","21"
"kr","21"
"uk","21"
"dó","20"
"mo","20"
"me","20"
"Ży","20"
"nd","19"
"wn","19"
"op","18"
"lu","18"
"im","18"
"ąc","18"
"up","18"
"ik","17"
"ży","17"
"Na","17"
"ać","17"
"Ja","17"
"ym","17"
"aj","17"
"gh","17"
"dl","16"
"mn","16"
"il","16"
"dw","16"
"zę","16"
"sł","16"
"zk","16"
"wc","16"
"is","15"
"nk","15"
"tn","15"
"có","15"
