"tokens","occurrences"
"na","134"
"pr","129"
"ne","118"
"st","112"
"po","111"
"do","92"
"ve","83"
"sk","80"
"li","76"
"ad","75"
"en","72"
"ch","68"
"ov","64"
"to","63"
"an","61"
"ob","61"
"ra","60"
"la","59"
"ni","59"
"ho","59"
"ro","58"
"od","56"
"at","54"
"že","54"
"va","53"
"če","52"
"bo","52"
"os","47"
"te","47"
"lo","44"
"om","44"
"or","44"
"no","44"
"de","44"
"vy","42"
"ri","41"
"vo","41"
"le","41"
"za","41"
"is","39"
"re","38"
"ko","38"
"so","38"
"sa","38"
"in","37"
"rá","37"
"ia","37"
"Br","36"
"kú","35"
"íc","35"
"mo","35"
"me","35"
"ed","34"
"ie","34"
"kt","34"
"ná","33"
"al","33"
"čn","33"
"ma","32"
"aj","31"
"sl","31"
"hr","31"
"er","31"
"da","30"
"il","29"
"né","29"
"em","28"
"ln","28"
"ži","28"
"ný","27"
"tr","27"
"mi","26"
"ní","25"
"di","25"
"av","25"
"éh","24"
"úr","24"
"dň","24"
"ic","24"
"rí","24"
"ís","23"
"ké","23"
"ti","23"
"ek","23"
"bu","23"
"ok","22"
"ns","22"
"ýc","22"
"je","22"
"hl","21"
"tn","21"
"ap","20"
"ci","20"
"sn","20"
"ab","20"
"op","20"
"it","19"
"ke","19"
"Ra","18"
"ku","18"
"et","18"
"át","18"
"ce","18"
"fi","18"
"nč","18"
"ck","17"
"el","17"
"tv","17"
"čl","17"
"mu","17"
"št","17"
"ly","17"
"ík","16"
"vi","16"
"zo","16"
"ým","16"
"se","16"
"ez","15"
"úz","15"
"ta","15"
"up","15"
"by","15"
"kr","14"
"jn","14"
"us","14"
"Po","14"
"tý","14"
"si","14"
"lu","14"
"ďa","14"
"eb","14"
"be","14"
"či","14"
"sm","14"
"pi","13"
"ca","13"
"br","13"
"sp","13"
"ka","13"
"čo","13"
"jú","13"
"ej","12"
"zn","12"
"ak","12"
"as","12"
"zp","12"
"bý","11"
"šn","11"
"ký","11"
"dk","11"
"ou","11"
"sú","11"
"už","11"
"ič","11"
"ev","11"
"ng","11"
"Pr","10"
"mn","10"
"dz","10"
"dľ","10"
"vš","10"
"am","10"
"ča","10"
"ih","10"
"ky","10"
"dv","10"
"eľ","10"
"ja","10"
"ém","9"
"ec","9"
"íp","9"
"dn","9"
"nú","9"
"tí","9"
"dr","9"
"čs","9"
"tk","9"
"ny","9"
"Du","9"
"rc","9"
"Ma","8"
"oc","8"
"uj","8"
"ús","8"
"oz","8"
"du","8"
"rs","8"
"nt","8"
"vu","8"
"Mo","8"
"ge","8"
"iš","8"
"Sc","8"
"ká","8"
"iu","7"
"ig","7"
"nu","7"
"ur","7"
"žn","7"
"áv","7"
"ať","7"
"az","7"
"eg","7"
"ál","7"
"eh","7"
"Ša","7"
"vz","7"
"vr","7"
"dl","7"
"ľu","7"
"ža","7"
"SA","7"
"íd","6"
"dô","6"
"rn","6"
"Če","6"
"Vi","6"
"zi","6"
"he","6"
"dp","6"
"vs","6"
"gá","6"
"ot","6"
"ip","6"
"ož","6"
"pa","6"
"ád","6"
"co","6"
"ms","6"
"yc","6"
"ša","6"
"ud","6"
"rg","6"
"dá","6"
"He","6"
"Ro","6"
"We","6"
"Ke","6"
"kd","6"
"oj","6"
"ar","6"
"Od","5"
"lé","5"
"ik","5"
"ľa","5"
"pá","5"
"ol","5"
"ví","5"
"es","5"
"eš","5"
"ši","5"
"oč","5"
"án","5"
"Kr","5"
"Ne","5"
"ľs","5"
"íl","5"
"sc","5"
"uv","5"
"vý","5"
"ně","5"
"on","5"
"ze","5"
"Si","5"
"Pa","5"
"pl","5"
"um","5"
"vé","5"
"sv","5"
"Na","5"
"až","5"
"pe","5"
"ei","5"
"Ge","4"
"ym","4"
"tu","4"
"pu","4"
"jš","4"
"fo","4"
"kl","4"
"oh","4"
"žd","4"
"úd","4"
"sť","4"
"vn","4"
"mt","4"
"Ze","4"
"eč","4"
"Do","4"
"zk","4"
"sí","4"
"nd","4"
"äť","4"
"Ha","4"
"Gr","4"
"ün","4"
"Ja","4"
"th","4"
"Pe","4"
"ím","4"
"ss","4"
"uh","4"
"ha","4"
"mň","4"
"Ži","3"
"ác","3"
"ľk","3"
"pí","3"
"zá","3"
"vä","3"
"ťo","3"
"bl","3"
"úp","3"
"lý","3"
"še","3"
"jv","3"
"ah","3"
"äč","3"
"šo","3"
"iť","3"
"zd","3"
"Bu","3"
"nn","3"
"ač","3"
"lí","3"
"ší","3"
"dú","3"
"Dr","3"
"un","3"
"sd","3"
"sy","3"
"ep","3"
"Ok","3"
"ás","3"
