"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"ER", "22", "Le", "105", "de", "1124"
"LE", "22", "Co", "84", "le", "1039"
"BU", "17", "Ma", "81", "en", "830"
"TL", "17", "Pa", "61", "re", "738"
"NE", "12", "Pr", "56", "es", "643"
"RE", "12", "Et", "52", "nt", "619"
"XX", "12", "La", "49", "qu", "616"
"NA", "11", "Je", "47", "la", "580"
"PA", "11", "Il", "43", "co", "566"
"DE", "10", "Mo", "41", "et", "557"
"LA", "10", "Ce", "38", "on", "532"
"ON", "10", "Sa", "34", "ur", "530"
"RI", "9", "Ca", "31", "ai", "479"
"ES", "8", "Fr", "30", "pa", "479"
"RK", "8", "Ch", "29", "us", "429"
"TI", "8", "Dé", "29", "is", "418"
"TT", "8", "No", "28", "se", "411"
"YO", "8", "Vo", "28", "an", "395"
"CO", "7", "Bo", "24", "ns", "391"
"EC", "7", "Do", "24", "me", "381"
"NT", "7", "Un", "24", "ti", "374"
"AN", "6", "Ni", "23", "ce", "365"
"MO", "6", "Sé", "21", "te", "364"
"AR", "5", "Bu", "20", "er", "355"
"CA", "5", "Mu", "20", "in", "354"
"LL", "5", "On", "20", "pr", "333"
"RA", "5", "Br", "18", "tr", "333"
"SE", "5", "En", "17", "po", "323"
"TA", "5", "Qu", "17", "au", "308"
"TO", "5", "Al", "16", "un", "295"
"UN", "5", "He", "16", "ma", "284"
"IN", "4", "Ré", "16", "to", "280"
"IS", "4", "Go", "15", "ne", "279"
"MA", "4", "Ja", "15", "no", "278"
"MM", "4", "Es", "14", "it", "277"
"NS", "4", "To", "14", "il", "265"
"PE", "4", "Cl", "13", "av", "260"
"RT", "4", "El", "13", "so", "246"
"SA", "4", "Fl", "13", "vo", "246"
"AD", "3", "Ge", "13", "ri", "241"
"AL", "3", "Lu", "13", "ra", "230"
"AM", "3", "Mm", "13", "mo", "223"
"AT", "3", "Re", "13", "ll", "222"
"ET", "3", "Cr", "12", "nd", "218"
"FI", "3", "Ju", "12", "sa", "217"
"GE", "3", "So", "12", "ch", "212"
"GI", "3", "De", "11", "eu", "204"
"HE", "3", "Lo", "11", "ré", "203"
"HO", "3", "Me", "11", "ie", "197"
"IL", "3", "Po", "11", "fa", "196"
"NI", "3", "Am", "10", "rt", "193"
"OR", "3", "Ba", "10", "si", "191"
"PR", "3", "Be", "10", "mm", "187"
"RO", "3", "Eu", "10", "pe", "183"
"UD", "3", "Fo", "10", "pl", "179"
"UR", "3", "Mi", "10", "em", "178"
"UX", "3", "SÉ", "10", "ut", "176"
"AC", "2", "Gé", "9", "ir", "169"
"AI", "2", "Ha", "9", "at", "165"
"AS", "2", "Là", "9", "du", "163"
"AU", "2", "Na", "9", "ou", "162"
"BA", "2", "An", "8", "di", "160"
"BI", "2", "Ap", "8", "ec", "159"
"CH", "2", "Da", "8", "su", "156"
"DA", "2", "Di", "8", "ta", "156"
"EA", "2", "Pe", "8", "dé", "154"
"EL", "2", "Sc", "8", "el", "154"
"EN", "2", "Su", "8", "ét", "147"
"EX", "2", "Th", "8", "ve", "146"
"FA", "2", "Vi", "8", "nc", "145"
"FO", "2", "As", "7", "oi", "144"
"GO", "2", "Au", "7", "ss", "143"
"IE", "2", "Du", "7", "st", "143"
"LI", "2", "Em", "7", "té", "143"
"LS", "2", "Fa", "7", "ar", "137"
"MI", "2", "Fe", "7", "rs", "135"
"NC", "2", "Pi", "7", "ca", "134"
"OL", "2", "Pl", "7", "io", "133"
"PP", "2", "Ad", "6", "li", "128"
"RG", "2", "Ai", "6", "vi", "124"
"SS", "2", "Bi", "6", "ac", "121"
"ST", "2", "Gi", "6", "na", "121"
"SW", "2", "In", "6", "ux", "120"
"TE", "2", "Li", "6", "je", "119"
"TR", "2", "Ne", "6", "da", "118"
"UT", "2", "Ru", "6", "mp", "117"
"AF", "1", "St", "6", "ni", "117"
"AP", "1", "Ve", "6", "do", "114"
"BL", "1", "Wa", "6", "pu", "113"
"BO", "1", "Ga", "5", "ci", "111"
"CE", "1", "Gu", "5", "mi", "110"
"CI", "1", "Hu", "5", "és", "107"
"CR", "1", "Si", "5", "bl", "105"
"DI", "1", "Ta", "5", "ue", "104"
"DL", "1", "Tr", "5", "ic", "103"
"DO", "1", "Yo", "5", "al", "96"
"DU", "1", "Cu", "4", "bi", "95"
"EF", "1", "Dr", "4", "ul", "92"
"EU", "1", "Gr", "4", "fi", "88"
"EV", "1", "My", "4", "he", "88"
"FE", "1", "Or", "4", "uv", "84"
"FF", "1", "Ri", "4", "am", "83"
"FL", "1", "Ro", "4", "lu", "80"
"FR", "1", "Tu", "4", "nn", "80"
"GH", "1", "Ci", "3", "né", "79"
"GL", "1", "Fé", "3", "rd", "79"
"GU", "1", "Fi", "3", "ro", "79"
"HA", "1", "Is", "3", "sé", "77"
"HU", "1", "Lé", "3", "ex", "75"
"IA", "1", "Ml", "3", "or", "75"
"IC", "1", "Se", "3", "él", "74"
"II", "1", "Sh", "3", "tt", "72"
"IO", "1", "Te", "3", "as", "71"
"IR", "1", "Aj", "2", "mb", "71"
"IT", "1", "Ar", "2", "va", "71"
"JA", "1", "At", "2", "be", "70"
"JE", "1", "Av", "2", "fo", "70"
"JO", "1", "Bd", "2", "ge", "70"
"MB", "1", "Ec", "2", "jo", "69"
"MU", "1", "Ho", "2", "gu", "68"
"NB", "1", "Ic", "2", "id", "67"
"ND", "1", "Jo", "2", "im", "67"
"NG", "1", "LÉ", "2", "ag", "65"
"NV", "1", "Ly", "2", "ap", "65"
"OM", "1", "Mg", "2", "ia", "65"
"OT", "1", "Oc", "2", "ab", "64"
"OU", "1", "Ol", "2", "cr", "64"
"PL", "1", "Pu", "2", "fe", "62"
"RD", "1", "Wi", "2", "gr", "62"
"RL", "1", "Ac", "1", "fr", "61"
"RM", "1", "Ag", "1", "lo", "61"
"RU", "1", "Ao", "1", "éc", "59"
"SH", "1", "Bl", "1", "tu", "59"
"SQ", "1", "DÉ", "1", "ès", "57"
"SU", "1", "Dè", "1", "ts", "57"
"TH", "1", "Ed", "1", "ad", "51"
"UL", "1", "Er", "1", "op", "51"
"UP", "1", "Ev", "1", "iq", "49"
"VE", "1", "Ex", "1", "mê", "49"
"VI", "1", "Fâ", "1", "ée", "48"
"WA", "1", "GÉ", "1", "lé", "48"
"WE", "1", "Hé", "1", "rc", "48"
"YS", "1", "HÔ", "1", "ér", "47"
"", "", "Hô", "1", "br", "46"
"", "", "I7", "1", "ei", "46"
"", "", "Ib", "1", "rè", "46"
"", "", "Im", "1", "rr", "46"
"", "", "Ir", "1", "dr", "45"
"", "", "Ka", "1", "êt", "45"
"", "", "Mé", "1", "gé", "45"
"", "", "NÉ", "1", "mé", "45"
"", "", "Né", "1", "oc", "44"
"", "", "Nu", "1", "bo", "43"
"", "", "Où", "1", "ga", "41"
"", "", "RÉ", "1", "rm", "40"
"", "", "Sè", "1", "gn", "39"
"", "", "TÉ", "1", "sp", "39"
"", "", "Té", "1", "ép", "38"
"", "", "UÉ", "1", "ba", "37"
"", "", "Ut", "1", "ez", "37"
"", "", "We", "1", "nu", "37"
"", "", "Wr", "1", "of", "36"
"", "", "Zé", "1", "ru", "36"
"", "", "", "", "ui", "36"
"", "", "", "", "vr", "36"
"", "", "", "", "cu", "35"
"", "", "", "", "ig", "35"
"", "", "", "", "ng", "35"
"", "", "", "", "ct", "34"
"", "", "", "", "ho", "34"
"", "", "", "", "sc", "34"
"", "", "", "", "up", "34"
"", "", "", "", "ea", "33"
"", "", "", "", "ha", "33"
"", "", "", "", "ol", "33"
"", "", "", "", "ju", "32"
"", "", "", "", "rn", "32"
"", "", "", "", "cl", "31"
"", "", "", "", "pé", "31"
"", "", "", "", "rv", "31"
"", "", "", "", "ué", "30"
"", "", "", "", "ye", "30"
"", "", "", "", "ys", "30"
"", "", "", "", "iv", "28"
"", "", "", "", "ot", "28"
"", "", "", "", "ib", "27"
"", "", "", "", "os", "27"
"", "", "", "", "ud", "27"
"", "", "", "", "ix", "26"
"", "", "", "", "nf", "26"
"", "", "", "", "om", "26"
"", "", "", "", "af", "25"
"", "", "", "", "ff", "25"
"", "", "", "", "gi", "25"
"", "", "", "", "ié", "25"
"", "", "", "", "éd", "24"
"", "", "", "", "ja", "24"
"", "", "", "", "ls", "24"
"", "", "", "", "pi", "24"
"", "", "", "", "rl", "24"
"", "", "", "", "vé", "24"
"", "", "", "", "ay", "23"
"", "", "", "", "nv", "23"
"", "", "", "", "lg", "22"
"", "", "", "", "ef", "21"
"", "", "", "", "if", "21"
"", "", "", "", "mu", "21"
"", "", "", "", "nq", "21"
"", "", "", "", "uj", "21"
"", "", "", "", "bu", "20"
"", "", "", "", "ça", "20"
"", "", "", "", "où", "20"
"", "", "", "", "éf", "19"
"", "", "", "", "ég", "19"
"", "", "", "", "èr", "19"
"", "", "", "", "fu", "19"
"", "", "", "", "iè", "19"
"", "", "", "", "uc", "19"
"", "", "", "", "cc", "18"
"", "", "", "", "go", "18"
"", "", "", "", "tl", "18"
"", "", "", "", "èc", "17"
"", "", "", "", "rê", "17"
"", "", "", "", "sq", "17"
"", "", "", "", "gl", "16"
"", "", "", "", "vu", "16"
"", "", "", "", "cé", "15"
"", "", "", "", "cs", "15"
"", "", "", "", "ém", "15"
"", "", "", "", "hé", "15"
"", "", "", "", "ob", "15"
"", "", "", "", "pt", "15"
"", "", "", "", "rg", "15"
"", "", "", "", "dè", "14"
"", "", "", "", "év", "14"
"", "", "", "", "hu", "14"
"", "", "", "", "od", "14"
"", "", "", "", "rf", "14"
"", "", "", "", "ev", "13"
"", "", "", "", "fl", "13"
"", "", "", "", "pp", "13"
"", "", "", "", "rp", "13"
"", "", "", "", "ub", "13"
"", "", "", "", "uf", "13"
"", "", "", "", "og", "12"
"", "", "", "", "éa", "11"
"", "", "", "", "ip", "11"
"", "", "", "", "mt", "11"
"", "", "", "", "ua", "11"
"", "", "", "", "um", "11"
"", "", "", "", "ep", "10"
"", "", "", "", "hô", "10"
"", "", "", "", "jà", "10"
"", "", "", "", "lt", "10"
"", "", "", "", "ôt", "10"
"", "", "", "", "tê", "10"
"", "", "", "", "th", "10"
"", "", "", "", "aî", "9"
"", "", "", "", "ât", "9"
"", "", "", "", "hi", "9"
"", "", "", "", "là", "9"
"", "", "", "", "lh", "9"
"", "", "", "", "oe", "8"
"", "", "", "", "pè", "8"
"", "", "", "", "pê", "8"
"", "", "", "", "rb", "8"
"", "", "", "", "ya", "8"
"", "", "", "", "cô", "7"
"", "", "", "", "çu", "7"
"", "", "", "", "ût", "7"
"", "", "", "", "aj", "6"
"", "", "", "", "bé", "6"
"", "", "", "", "èg", "6"
"", "", "", "", "lè", "6"
"", "", "", "", "mè", "6"
"", "", "", "", "nb", "6"
"", "", "", "", "ph", "6"
"", "", "", "", "rq", "6"
"", "", "", "", "tâ", "6"
"", "", "", "", "tô", "6"
"", "", "", "", "aq", "5"
"", "", "", "", "dî", "5"
"", "", "", "", "ÉL", "5"
"", "", "", "", "èm", "5"
"", "", "", "", "én", "5"
"", "", "", "", "fé", "5"
"", "", "", "", "nô", "5"
"", "", "", "", "ov", "5"
"", "", "", "", "oy", "5"
"", "", "", "", "rk", "5"
"", "", "", "", "sm", "5"
"", "", "", "", "sn", "5"
"", "", "", "", "sû", "5"
"", "", "", "", "sw", "5"
"", "", "", "", "sy", "5"
"", "", "", "", "xi", "5"
"", "", "", "", "ze", "5"
"", "", "", "", "ço", "4"
"", "", "", "", "ds", "4"
"", "", "", "", "dû", "4"
"", "", "", "", "eg", "4"
"", "", "", "", "éq", "4"
"", "", "", "", "ët", "4"
"", "", "", "", "èv", "4"
"", "", "", "", "fâ", "4"
"", "", "", "", "fê", "4"
"", "", "", "", "gh", "4"
"", "", "", "", "ît", "4"
"", "", "", "", "mn", "4"
"", "", "", "", "nr", "4"
"", "", "", "", "ow", "4"
"", "", "", "", "ps", "4"
"", "", "", "", "sf", "4"
"", "", "", "", "sk", "4"
"", "", "", "", "uê", "4"
"", "", "", "", "we", "4"
"", "", "", "", "yo", "4"
"", "", "", "", "âg", "3"
"", "", "", "", "êm", "3"
"", "", "", "", "èq", "3"
"", "", "", "", "eû", "3"
"", "", "", "", "gê", "3"
"", "", "", "", "ki", "3"
"", "", "", "", "ld", "3"
"", "", "", "", "lv", "3"
"", "", "", "", "ox", "3"
"", "", "", "", "pô", "3"
"", "", "", "", "sl", "3"
"", "", "", "", "uh", "3"
"", "", "", "", "vè", "3"
"", "", "", "", "xe", "3"
"", "", "", "", "yé", "3"
"", "", "", "", "za", "3"
"", "", "", "", "âc", "2"
"", "", "", "", "cè", "2"
"", "", "", "", "ck", "2"
"", "", "", "", "èd", "2"
"", "", "", "", "èn", "2"
"", "", "", "", "éo", "2"
"", "", "", "", "èt", "2"
"", "", "", "", "fû", "2"
"", "", "", "", "hâ", "2"
"", "", "", "", "hn", "2"
"", "", "", "", "hr", "2"
"", "", "", "", "lm", "2"
"", "", "", "", "ms", "2"
"", "", "", "", "nè", "2"
"", "", "", "", "nl", "2"
"", "", "", "", "ny", "2"
"", "", "", "", "oï", "2"
"", "", "", "", "rô", "2"
"", "", "", "", "sh", "2"
"", "", "", "", "ug", "2"
"", "", "", "", "ûl", "2"
"", "", "", "", "zé", "2"
"", "", "", "", "ah", "1"
"", "", "", "", "âm", "1"
"", "", "", "", "az", "1"
"", "", "", "", "bs", "1"
"", "", "", "", "bû", "1"
"", "", "", "", "bv", "1"
"", "", "", "", "cê", "1"
"", "", "", "", "dl", "1"
"", "", "", "", "e!", "1"
"", "", "", "", "eà", "1"
"", "", "", "", "éâ", "1"
"", "", "", "", "ed", "1"
"", "", "", "", "ek", "1"
"", "", "", "", "ël", "1"
"", "", "", "", "ÉN", "1"
"", "", "", "", "ên", "1"
"", "", "", "", "êq", "1"
"", "", "", "", "ÈR", "1"
"", "", "", "", "êv", "1"
