"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUT", "19", "Mon", "26", "que", "140"
"LER", "19", "Fra", "25", "ent", "130"
"PAR", "9", "All", "22", "les", "128"
"TRE", "8", "Pré", "22", "par", "103"
"LET", "7", "Mur", "16", "des", "100"
"NEW", "7", "Les", "14", "con", "80"
"YOR", "5", "Mai", "14", "est", "80"
"ALL", "4", "Nic", "14", "tou", "75"
"EMA", "4", "But", "11", "pou", "67"
"ION", "4", "Par", "11", "son", "61"
"XXX", "4", "Vot", "9", "com", "58"
"ETT", "3", "Con", "8", "dan", "57"
"LES", "3", "Eta", "8", "pas", "56"
"NAT", "3", "Gou", "8", "ion", "52"
"ACT", "2", "Jui", "8", "plu", "51"
"CON", "2", "Com", "7", "qui", "49"
"FOE", "2", "Lan", "7", "nou", "48"
"GER", "2", "Ber", "6", "men", "46"
"GID", "2", "Cai", "6", "une", "45"
"GNE", "2", "Non", "6", "fai", "41"
"IRE", "2", "Uni", "6", "ave", "40"
"LAC", "2", "Vou", "6", "tio", "40"
"LON", "2", "Cle", "5", "res", "39"
"MIL", "2", "Ger", "5", "rre", "38"
"RST", "2", "Nou", "5", "vou", "38"
"SEN", "2", "SÉN", "5", "tre", "37"
"VIE", "2", "Voi", "5", "gue", "36"
"XIV", "2", "Cha", "4", "jou", "36"
"ACQ", "1", "Déc", "4", "ant", "35"
"AFF", "1", "Gen", "4", "not", "35"
"AIR", "1", "Nat", "4", "ser", "34"
"ANS", "1", "Sén", "4", "mai", "33"
"ARM", "1", "Ang", "3", "leu", "32"
"ATI", "1", "Apr", "3", "mon", "32"
"BEA", "1", "Bri", "3", "bie", "31"
"CAI", "1", "Cav", "3", "enc", "29"
"CAR", "1", "Cel", "3", "mes", "29"
"CAV", "1", "Des", "3", "nce", "29"
"CRE", "1", "Dro", "3", "pro", "29"
"CRI", "1", "Ell", "3", "ema", "28"
"DEU", "1", "Fév", "3", "moi", "28"
"DNO", "1", "Hay", "3", "tes", "28"
"DON", "1", "Kes", "3", "ell", "26"
"DOT", "1", "Lou", "3", "pré", "26"
"DRE", "1", "Pai", "3", "ler", "24"
"EMB", "1", "Pou", "3", "peu", "24"
"EME", "1", "Pui", "3", "sid", "24"
"ENG", "1", "Qua", "3", "aut", "23"
"ENT", "1", "Sar", "3", "sou", "23"
"ERD", "1", "Soc", "3", "ait", "22"
"ETR", "1", "Tou", "3", "che", "22"
"EUR", "1", "Was", "3", "pai", "22"
"FRA", "1", "Alo", "2", "pre", "22"
"IMP", "1", "Amé", "2", "sur", "22"
"INI", "1", "Ami", "2", "tra", "22"
"ISE", "1", "Bas", "2", "ces", "21"
"ITA", "1", "Bea", "2", "ien", "21"
"LAN", "1", "Bie", "2", "san", "21"
"LIE", "1", "Bon", "2", "ter", "21"
"LLA", "1", "Cen", "2", "vie", "21"
"MEN", "1", "Cer", "2", "ais", "20"
"MOR", "1", "Ces", "2", "mêm", "20"
"NCA", "1", "Col", "2", "ont", "20"
