"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUTL", "158", "Fran", "333", "pour", "945"
"PARI", "113", "Prés", "257", "plus", "666"
"YORK", "95", "Mons", "163", "dans", "564"
"LETT", "94", "Etat", "152", "nous", "538"
"VRAI", "78", "Alle", "142", "tion", "529"
"TION", "43", "Butl", "128", "comm", "525"
"XXXX", "38", "Murr", "121", "elle", "519"
"FRAN", "35", "Gouv", "112", "tout", "501"
"CONS", "28", "Unis", "112", "guer", "469"
"CARN", "25", "Pari", "105", "ment", "443"
"EGIE", "24", "Mais", "94", "vous", "401"
"PAIX", "24", "Nous", "87", "leur", "378"
"LLES", "23", "Nich", "82", "mais", "365"
"POUR", "23", "Votr", "80", "même", "331"
"TANT", "22", "Nati", "79", "avec", "316"
"GUER", "22", "Amér", "73", "bien", "314"
"ESTO", "21", "SÉNA", "72", "emen", "303"
"URNE", "21", "Euro", "70", "cont", "286"
"DOTA", "21", "Soci", "66", "iden", "268"
"NATI", "20", "Elle", "64", "comp", "249"
"IDEN", "18", "Créa", "62", "part", "249"
"SOCI", "18", "Vous", "60", "notr", "243"
"BOUR", "16", "Angl", "52", "fait", "239"
"CAIS", "16", "Sart", "49", "jour", "235"
"GEOI", "15", "Cons", "48", "cett", "231"
"ICAI", "15", "Tout", "40", "être", "231"
"SENA", "15", "Bure", "38", "autr", "227"
"NIPP", "15", "Pour", "37", "sans", "217"
"NOTR", "14", "Belg", "36", "mand", "215"
"ETTR", "13", "Cela", "35", "sont", "214"
"CREA", "12", "Russ", "35", "cons", "205"
"ASSO", "12", "Comm", "34", "cher", "198"
"CIAT", "12", "Bour", "34", "gran", "198"
"DANS", "11", "Séna", "34", "tous", "198"
"MONT", "10", "Géné", "33", "sera", "194"
"JOUR", "9", "Dota", "33", "ieur", "193"
"COPI", "9", "Mini", "33", "fair", "190"
"DROI", "9", "Asso", "33", "étai", "186"
"ALLE", "9", "Droi", "32", "alle", "183"
"DISC", "9", "Sain", "31", "quel", "169"
"OURS", "9", "Prof", "30", "pays", "169"
"CONC", "9", "Sept", "29", "paix", "168"
"ENCE", "9", "Cett", "28", "entr", "167"
"UNIS", "8", "Haye", "28", "tant", "163"
"APPE", "8", "Carn", "27", "avai", "153"
"MAND", "8", "Conf", "27", "dont", "152"
"CLEM", "8", "Comi", "27", "seul", "151"
"MANS", "8", "Flèc", "26", "atio", "149"
"ETAT", "7", "Cler", "26", "enco", "145"
"ATIO", "7", "Quel", "26", "ours", "139"
"WILS", "7", "Alli", "26", "temp", "137"
"COMM", "7", "Mans", "25", "erne", "135"
"WEIS", "7", "Wils", "25", "çais", "134"
"ILIA", "7", "Cour", "23", "fran", "132"
"INTE", "7", "Suis", "23", "moin", "131"
"STRA", "7", "Août", "22", "ions", "130"
"FOER", "7", "Lord", "22", "peut", "129"
"STER", "7", "Conc", "22", "auss", "125"
"PAIN", "7", "Léon", "21", "ique", "124"
"HOMM", "7", "Dieu", "21", "mond", "123"
"PEUP", "6", "York", "20", "trou", "123"
"REST", "6", "Notr", "20", "aura", "121"
"ORGA", "6", "Secr", "20", "faut", "119"
"ARTI", "6", "Cail", "20", "avan", "119"
"AVIA", "6", "Pier", "19", "ques", "118"
"IONS", "6", "Dans", "19", "conc", "117"
"RICH", "6", "Parl", "19", "parl", "117"
"PROG", "6", "Janv", "19", "serv", "117"
"POIN", "5", "Déce", "19", "puis", "112"
"SOMM", "5", "Alsa", "19", "mili", "112"
"AIRE", "5", "Mars", "19", "inte", "111"
"PLUS", "5", "Mond", "19", "nouv", "111"
"LEUR", "5", "Empe", "19", "géné", "110"
"LING", "5", "Clem", "19", "atte", "110"
"ISSI", "5", "Ital", "18", "rend", "110"
"VOTR", "5", "Voic", "18", "pass", "110"
"RNAT", "5", "Affa", "18", "icai", "109"
"IONA", "5", "Lond", "18", "repr", "108"
"MILI", "5", "Cham", "18", "rest", "106"
"PROP", "5", "Empi", "17", "ence", "105"
"MENT", "5", "Répu", "17", "très", "104"
"AUTR", "5", "Robe", "17", "usem", "104"
"TRAI", "5", "Quoi", "17", "ente", "103"
"PERS", "5", "Quan", "16", "rien", "103"
"ONNE", "5", "Aprè", "16", "deux", "102"
"RAMM", "5", "Nove", "16", "ains", "101"
"PIER", "5", "AMÉR", "16", "avon", "101"
"URIE", "5", "Jour", "16", "quan", "99"
"TTRE", "5", "Paix", "15", "pens", "98"
"CHAM", "5", "Lorr", "15", "beau", "97"
"PUEC", "5", "PRÉS", "15", "coup", "97"
"RUYS", "5", "Paul", "14", "avoi", "97"
"ADEL", "5", "Ceci", "14", "conf", "97"
"SAVO", "5", "Voil", "14", "magn", "97"
"DEUX", "4", "Inte", "14", "dire", "97"
"CLER", "4", "Loir", "14", "trop", "96"
"CIEL", "4", "Loui", "14", "aprè", "96"
"HAIN", "4", "Aujo", "13", "ière", "95"
"ASSE", "4", "Ains", "13", "cell", "95"
"INST", "4", "Avri", "13", "esse", "94"
"NISA", "4", "Huma", "13", "pers", "94"
"BALK", "4", "Roos", "13", "onne", "93"
"CRAT", "4", "Tous", "12", "touj", "93"
"COMI", "4", "Etra", "12", "dévo", "93"
"BURE", "4", "Enco", "12", "sous", "92"
"MAIS", "4", "Dépa", "12", "ible", "92"
"FAIT", "4", "Brux", "12", "eurs", "92"
"COND", "4", "Févr", "12", "soit", "91"
"REPR", "4", "Guer", "12", "impo", "88"
"GARC", "4", "Autr", "12", "pouv", "87"
"PEND", "4", "Guil", "12", "main", "87"
"VICT", "4", "Andr", "11", "suis", "86"
"PRES", "4", "Leur", "11", "homm", "86"
"RUSS", "4", "Bien", "11", "arri", "86"
"GEOR", "4", "Juil", "11", "donn", "86"
"HOUS", "4", "Mont", "11", "mill", "86"
"SART", "4", "Nipp", "11", "heur", "86"
"CAIL", "4", "Beau", "11", "armé", "86"
"LAUX", "4", "Mame", "11", "auto", "85"
"PPOL", "4", "Puis", "10", "jama", "85"
"TARD", "4", "Anne", "10", "prés", "83"
"PEYL", "4", "Maré", "10", "ctue", "83"
"PRUD", "4", "Just", "10", "enfa", "83"
"EAUX", "4", "Affe", "10", "rais", "83"
"AMEL", "4", "Octo", "10", "olas", "82"
"LAPR", "4", "Asse", "10", "nomb", "82"
"VENI", "4", "Char", "10", "voul", "82"
"ZELO", "4", "Frie", "10", "nati", "81"
"MACB", "4", "Unio", "10", "ceux", "81"
"GRIL", "4", "Chaq", "10", "voir", "79"
"MORT", "3", "Nouv", "10", "votr", "78"
"ELLE", "3", "Océa", "10", "trai", "77"
"VOYA", "3", "Gran", "10", "fois", "77"
"JEAN", "3", "Napo", "10", "prop", "77"
"CAIN", "3", "Jaur", "10", "pren", "77"
"WASH", "3", "Mada", "9", "depu", "77"
"INGT", "3", "Sans", "9", "amis", "77"
"FETE", "3", "Part", "9", "orga", "76"
"OFFI", "3", "Pers", "9", "inté", "76"
"TEMP", "3", "Wash", "9", "prof", "76"
"FINI", "3", "Verd", "9", "affe", "75"
"ETER", "3", "Reim", "9", "cela", "74"
"SANS", "3", "Dima", "9", "sent", "74"
"PROC", "3", "Berl", "9", "ndan", "73"
"FINA", "3", "Donc", "9", "lett", "73"
"NCIE", "3", "Alor", "9", "jeun", "73"
"OGRA", "3", "Ligu", "9", "disc", "73"
"GODA", "3", "Bern", "9", "ress", "73"
"HEUR", "3", "Hous", "9", "dema", "72"
"PROF", "3", "Japo", "9", "bles", "71"
"CONF", "3", "Avec", "9", "pend", "71"
"NOUV", "3", "Herr", "8", "jusq", "71"
"DIPL", "3", "Hask", "8", "éren", "71"
"OMAT", "3", "Enfi", "8", "reco", "70"
"AUTO", "3", "Tota", "8", "peup", "70"
"RALE", "3", "GÉNÉ", "8", "long", "69"
"MARS", "3", "Balk", "8", "aill", "69"
"LUTI", "3", "Haut", "8", "enti", "68"
"TRAN", "3", "Scea", "8", "trav", "68"
"ARAT", "3", "Port", "8", "acti", "67"
"AVAN", "3", "Albe", "8", "lais", "67"
"GOUV", "3", "Trus", "8", "leme", "67"
"ERNE", "3", "Serb", "8", "prem", "67"
"IQUE", "3", "Hano", "8", "vict", "66"
"CTIO", "3", "Révo", "8", "able", "66"
"LIVR", "3", "Asie", "8", "acco", "66"
"FAIL", "3", "Dépu", "8", "dépe", "66"
"LITE", "3", "Huis", "8", "chez", "66"
"RAPP", "3", "Mess", "7", "prév", "65"
"IERE", "3", "Depu", "7", "ient", "65"
"CAMP", "3", "Amba", "7", "suiv", "64"
"OPIN", "3", "Tand", "7", "appr", "64"
"FRIE", "3", "Inst", "7", "cond", "64"
"BUDG", "3", "Exéc", "7", "deva", "64"
"POPU", "3", "Muni", "7", "terr", "63"
"LAIR", "3", "Nord", "7", "ndre", "63"
"LLOY", "3", "Dire", "7", "diff", "63"
"ESSE", "3", "Perm", "7", "pres", "62"
"OIRE", "3", "Trai", "7", "aien", "62"
"KEPP", "3", "Majo", "7", "tran", "62"
"ACTI", "3", "Jama", "7", "cour", "62"
"LAFO", "3", "Clém", "7", "préc", "62"
"SUIS", "3", "Bonn", "7", "aine", "61"
"COMP", "3", "Chac", "7", "tari", "61"
"CONT", "3", "Voye", "7", "euse", "61"
"TENT", "3", "Goda", "7", "ance", "61"
"AMER", "3", "Plus", "7", "naux", "60"
"SECR", "3", "Marl", "7", "rati", "60"
"KLIN", "3", "Malh", "6", "char", "60"
"BOUI", "3", "Malg", "6", "tena", "60"
"LLON", "3", "Geor", "6", "exem", "60"
"SALV", "3", "Lang", "6", "rait", "59"
"EMIN", "3", "Genè", "6", "pris", "59"
"PENH", "3", "Cert", "6", "inst", "59"
"OLIV", "3", "Comt", "6", "peti", "59"
"EIRA", "3", "DÉMO", "6", "publ", "59"
"ENQU", "3", "Esto", "6", "élec", "59"
"DAUD", "3", "Chri", "6", "effo", "58"
"WEAR", "3", "Baro", "6", "fais", "58"
"DALE", "3", "Chât", "6", "just", "58"
"VIDA", "3", "LEVÉ", "6", "proc", "58"
"BLAC", "3", "Prin", "6", "déjà", "57"
"BILA", "3", "Rest", "6", "donc", "56"
"TSEN", "3", "Same", "6", "rieu", "56"
"TSIA", "3", "Fert", "6", "chac", "56"
"MUHL", "3", "Comb", "6", "tair", "56"
"SANC", "2", "Avan", "6", "conv", "56"
"UNIV", "2", "Mlle", "6", "indi", "55"
"ERSI", "2", "Lude", "6", "fini", "55"
"FAYE", "2", "Senl", "6", "port", "54"
"SIGN", "2", "Sund", "6", "amér", "54"
"ATUR", "2", "Comp", "6", "perd", "54"
"EQUE", "2", "Curi", "6", "popu", "54"
"RETO", "2", "Nico", "6", "croi", "54"
"JAUD", "2", "Oues", "5", "droi", "54"
"NDAN", "2", "Mart", "5", "devo", "53"
"MISS", "2", "Lloy", "5", "auta", "53"
"ROSI", "2", "Cent", "5", "résu", "53"
"CONQ", "2", "Bibl", "5", "offi", "53"
"FORT", "2", "Mair", "5", "vien", "53"
"TRIS", "2", "Fina", "5", "natu", "53"
"SATI", "2", "Memb", "5", "mois", "52"
"BEAU", "2", "Ecol", "5", "femm", "52"
"COUP", "2", "Agen", "5", "alor", "52"
"LONG", "2", "RÉPO", "5", "moye", "52"
"NOUS", "2", "Appe", "5", "asse", "52"
"MAIN", "2", "Arbi", "5", "tiqu", "52"
"NISE", "2", "Main", "5", "conn", "52"
"DURA", "2", "Sign", "5", "dern", "51"
"POSS", "2", "Prud", "5", "comb", "51"
"IBLE", "2", "Tzar", "5", "véri", "51"
"MALV", "2", "Bulg", "5", "teur", "51"
"SITU", "2", "Pend", "5", "sion", "51"
"PROV", "2", "Colo", "5", "cert", "51"
"JEUN", "2", "Orie", "5", "sacr", "51"
"PHIE", "2", "Hier", "5", "forc", "51"
"PTIO", "2", "Atte", "5", "écri", "50"
"RIVE", "2", "Cart", "5", "admi", "50"
"GAUC", "2", "Boul", "5", "rale", "50"
"RHIN", "2", "Germ", "5", "poin", "50"
"FEMM", "2", "Time", "5", "néce", "50"
"MATT", "2", "Aucu", "5", "espr", "50"
"LACA", "2", "Cala", "5", "parc", "50"
"CAMB", "2", "Kilo", "5", "succ", "50"
"RIBO", "2", "Sill", "5", "ilia", "50"
"THOM", "2", "Fres", "5", "resp", "49"
"RENA", "2", "Agri", "5", "coll", "49"
"QUEL", "2", "Même", "5", "cent", "49"
"ADOP", "2", "Moli", "5", "mett", "49"
"TRUS", "2", "Afri", "5", "sant", "49"
"TEUR", "2", "Déjà", "5", "bonn", "49"
"SOUS", "2", "Indé", "5", "démo", "49"
"NAZA", "2", "Rena", "5", "vois", "49"
"QUIL", "2", "Auss", "4", "oire", "49"
"CONG", "2", "Rhin", "4", "somm", "48"
"OSIT", "2", "Prem", "4", "quoi", "48"
"ARGU", "2", "Offi", "4", "anné", "48"
"SERV", "2", "Poin", "4", "prép", "48"
"EXCE", "2", "Syri", "4", "voya", "48"
"LLEN", "2", "Tant", "4", "iers", "48"
"URGE", "2", "Juin", "4", "mont", "48"
"AFFI", "2", "Figa", "4", "gens", "48"
"CHAG", "2", "Appr", "4", "vill", "47"
"CRIT", "2", "Univ", "4", "réun", "47"
"MEIL", "2", "Revu", "4", "imen", "47"
"DIRI", "2", "Juri", "4", "sens", "47"
"GEAN", "2", "Jule", "4", "sanc", "46"
"PENS", "2", "Pich", "4", "plai", "46"
"AMNE", "2", "Lett", "4", "icul", "45"
"TOUS", "2", "Scie", "4", "ante", "45"
"CEUX", "2", "Vict", "4", "troi", "45"
"ENIR", "2", "Veni", "4", "aujo", "45"
"OCHE", "2", "Homm", "4", "volo", "45"
"QUAL", "2", "Grec", "4", "poss", "45"
"IFIE", "2", "Alex", "4", "disp", "45"
"VIRU", "2", "Gaze", "4", "lles", "45"
"LENT", "2", "Zuri", "4", "ciat", "45"
"ENAT", "2", "Kepp", "4", "dépa", "44"
"MECA", "2", "Turc", "4", "ssai", "44"
"CALO", "2", "Bret", "4", "reme", "44"
"MNIE", "2", "Armé", "4", "camp", "44"
"OFFE", "2", "Tell", "4", "accu", "44"
"NSIV", "2", "Pays", "4", "malg", "44"
"AMIT", "2", "Déje", "4", "ésen", "44"
"MORA", "2", "Moye", "4", "para", "44"
"MAUR", "2", "Hear", "4", "aven", "44"
"VILL", "2", "Roum", "4", "celu", "44"
"ANCE", "2", "Troi", "4", "ront", "44"
"LICH", "2", "Ferc", "4", "vain", "44"
"NOWS", "2", "Vibr", "4", "enir", "43"
"SINC", "2", "Holl", "4", "auro", "43"
"MEMB", "2", "Dane", "4", "lati", "43"
"ARCH", "2", "Mell", "4", "chan", "43"
"EVEQ", "2", "Cepe", "4", "poli", "43"
"AULA", "2", "Grâc", "4", "chaq", "43"
