"Word", "Number of occurrences"
"guerre", "481"
"butler", "282"
"président", "273"
"france", "261"
"paris", "219"
"paix", "206"
"faire", "188"
"pays", "166"
"monsieur", "157"
"murray", "155"
"lettre", "152"
"monde", "128"
"etats-unis", "103"
"temps", "100"
"avons", "100"
"nations", "99"
"sénat", "96"
"jamais", "94"
"allemagne", "93"
"faut", "92"
"gouvernement", "91"
"grand", "89"
"jour", "88"
"société", "82"
"français", "80"
"nicholas", "80"
"droit", "79"
"amis", "78"
"affectueusement", "77"
"dévoué", "75"
"part", "75"
"allemand", "72"
"dit", "72"
"américains", "71"
"vie", "70"
"new-york", "67"
"allemands", "67"
"déjà", "62"
"ans", "62"
"journaux", "62"
"enfants", "61"
"bureau", "61"
"voir", "60"
"conciliation", "59"
"pu", "58"
"allemande", "57"
"hommes", "54"
"alliés", "54"
"grande", "54"
"mal", "52"
"autant", "52"
"dotation", "52"
"carnegie", "51"
"général", "51"
"nombre", "51"
"puis", "50"
"mois", "50"
"militarisme", "49"
"bourgeois", "49"
"nouveau", "49"
"parler", "48"
"seul", "47"
"reste", "47"
"raison", "47"
"journal", "46"
"armée", "46"
"ailleurs", "46"
"enfin", "45"
"exemple", "45"
"conseil", "45"
"peut-être", "44"
"accord", "44"
"partout", "44"
"armées", "43"
"opinion", "43"
"sarthe", "43"
"europe", "42"
"prendre", "42"
"prix", "42"
"française", "42"
"bonne", "42"
"new", "42"
"conférence", "41"
"anglais", "41"
"fils", "41"
"esprit", "41"
"devoir", "40"
"avenir", "40"
"peuple", "40"
"organisation", "40"
"serait", "39"
"hier", "39"
"possible", "39"
"jeunes", "38"
"fin", "38"
"loin", "38"
"question", "37"
"années", "37"
"créans", "37"
"association", "37"
"générale", "36"
"justice", "36"
"politique", "36"
"compte", "36"
"discours", "36"
"blessés", "36"
"francs", "36"
"voulu", "35"
"mort", "35"
"jours", "35"
"élections", "35"
"nouvelle", "34"
"vérité", "34"
"mans", "34"
"lendemain", "34"
"vivre", "34"
"doute", "34"
"homme", "33"
"pouvoir", "33"
"peuples", "33"
"contraire", "33"
"aurait", "33"
"victoire", "33"
"millions", "33"
"pourtant", "32"
"septembre", "32"
"vrai", "32"
"point", "32"
"presse", "32"
")", "32"
"gouvernements", "31"
"wilson", "31"
"ami", "31"
"famille", "31"
"mieux", "31"
"avez", "31"
"sommes", "31"
"estournelles", "31"
"nippold", "31"
"ordre", "30"
"besoin", "30"
"service", "30"
"impossible", "30"
"dernier", "30"
"internationale", "30"
"peine", "30"
"rue", "30"
"conscience", "29"
"haye", "29"
"partie", "29"
"mettre", "29"
"yeux", "29"
"œuvre", "29"
"femme", "29"
"parle", "29"
"voyage", "29"
"action", "28"
"effort", "28"
"réaction", "28"
"place", "28"
"donner", "28"
"moment", "28"
"volonté", "28"
"servir", "28"
"vois", "28"
"clemenceau", "27"
"heureux", "27"
"savoir", "27"
"retour", "27"
"pourra", "27"
"services", "27"
"pouvait", "27"
"flèche", "27"
"vient", "27"
"américaine", "27"
"intérêt", "27"
"constant", "27"
"caillaux", "27"
"dépenses", "27"
"frs", "27"
"commission", "26"
"soldats", "26"
"suisse", "26"
"comité", "26"
"août", "26"
"ci-joint", "26"
"professeur", "26"
"naturellement", "26"
"mai", "26"
"nom", "25"
"seule", "25"
"cas", "25"
"perdu", "25"
"officiers", "25"
"pris", "25"
"sens", "25"
"demande", "25"
"russie", "25"
"vraiment", "25"
"envoie", "25"
"mesure", "25"
"campagne", "25"
"entendu", "25"
"côté", "25"
"rendre", "25"
"traité", "25"
"situation", "24"
"cause", "24"
"grands", "24"
"tour", "24"
"arrive", "24"
"femmes", "24"
"moyens", "24"
"succès", "24"
"activité", "24"
"trouver", "24"
"européen", "24"
"beau", "23"
"progrès", "23"
"etat", "23"
"chambre", "23"
"angleterre", "23"
"affaires", "23"
"union", "23"
"jeune", "22"
"sais", "22"
"moyen", "22"
"pense", "22"
"vieux", "22"
"empereur", "22"
"humanité", "22"
"compter", "22"
"janvier", "22"
"prévenir", "22"
"militaires", "22"
"personnel", "22"
"tête", "22"
"belgique", "22"
"léon", "22"
"novembre", "22"
"milliards", "22"
"lord", "22"
"programme", "21"
"éducation", "21"
"attendant", "21"
"vue", "21"
"presque", "21"
"petits", "21"
"tard", "21"
"régime", "21"
"nouvelles", "21"
"commerce", "21"
"ressources", "21"
"heureusement", "21"
"clermont-créans", "21"
"dieu", "21"
"mars", "21"
"argent", "21"
"petit", "21"
"faudra", "21"
"populations", "21"
"ville", "21"
"octobre", "21"
"routes", "20"
"prévoir", "20"
"révolution", "20"
"sang", "20"
"voix", "20"
"lieu", "20"
"sanctions", "20"
"puisse", "20"
"honneur", "20"
"militaire", "20"
"parlement", "20"
"faisait", "20"
"décembre", "20"
"ministre", "20"
"chose", "20"
"total", "20"
"adversaires", "20"
"neutres", "20"
"avril", "20"
"maison", "19"
"ruines", "19"
"relations", "19"
"foi", "19"
"assemblée", "19"
"démocratie", "19"
"danger", "19"
"crime", "19"
"etats", "19"
"longue", "19"
"tenir", "19"
"nécessaire", "19"
"jeunesse", "19"
"confiance", "19"
"parti", "19"
"crois", "19"
"comprendre", "19"
"souvent", "19"
"commune", "19"
"points", "19"
"travail", "19"
"donné", "19"
"passage", "19"
"londres", "19"
"su", "19"
"lettres", "19"
"york", "19"
"fut", "18"
"présent", "18"
"article", "18"
"allemandes", "18"
"entier", "18"
"troupes", "18"
"grandes", "18"
"domination", "18"
"efforts", "18"
"laissé", "18"
"(", "18"
"membres", "18"
"nationale", "18"
"arbitrage", "18"
"juillet", "18"
"feu", "18"
"croire", "18"
"départ", "18"
"passer", "18"
"laisser", "18"
"choses", "18"
"faute", "18"
"budget", "18"
"triomphe", "18"
"rester", "17"
"mis", "17"
"actuelle", "17"
"garde", "17"
"écrit", "17"
"agression", "17"
"autour", "17"
"annexe", "17"
"mauvais", "17"
"rôle", "17"
"idées", "17"
"malheureusement", "17"
"matin", "17"
"enfant", "17"
"cours", "17"
"public", "17"
"empire", "17"
"sait", "17"
"trouve", "17"
"lutte", "17"
"auparavant", "17"
"guerres", "17"
"résultat", "17"
"tenu", "17"
"venir", "17"
"réunion", "17"
"oeuvre", "17"
"penser", "16"
"or", "16"
"pacifique", "16"
"nécessaires", "16"
"belges", "16"
"finir", "16"
"trouvé", "16"
"ancien", "16"
"américain", "16"
"population", "16"
"palais", "16"
"ait", "16"
"–", "16"
"grâce", "16"
"ministère", "16"
"affaire", "16"
"champs", "16"
"terre", "16"
"forces", "16"
"secours", "16"
"également", "16"
"république", "16"
"cessé", "16"
"fête", "16"
"département", "16"
"heures", "16"
"attendre", "16"
"heure", "16"
"rapport", "16"
"anglaise", "16"
"neutralité", "16"
"roosevelt", "15"
"aurons", "15"
"sacrifice", "15"
"titre", "15"
"alsace-lorraine", "15"
"reprendre", "15"
"concours", "15"
"erreur", "15"
"cour", "15"
"conséquent", "15"
"nation", "15"
"liberté", "15"
"deuils", "15"
"simple", "15"
"sentiment", "15"
"défense", "15"
"exposé", "15"
"faveur", "15"
"aller", "15"
"jadis", "15"
"maisons", "15"
"économique", "15"
"discussion", "15"
"recevoir", "15"
"pierre-curie", "15"
"traitements", "15"
"mari", "15"
"devait", "15"
"senat", "15"
"notamment", "15"
"administration", "15"
"robert", "15"
"républicains", "15"
"commencer", "14"
"coup", "14"
"dû", "14"
"civilisation", "14"
"ensuite", "14"
"terrible", "14"
"réponse", "14"
"double", "14"
"soi-disant", "14"
"veut", "14"
"populaire", "14"
"violence", "14"
"francaise", "14"
"riches", "14"
"puisqu", "14"
"suite", "14"
"morale", "14"
"initiative", "14"
"reviens", "14"
"arriver", "14"
"restera", "14"
"mère", "14"
"villes", "14"
"front", "14"
"fer", "14"
"instant", "14"
"continue", "14"
"détruire", "14"
"surprise", "14"
"servi", "14"
"répondu", "14"
"soient", "14"
"joie", "14"
"étranger", "14"
"livre", "14"
"automobiles", "14"
"finalement", "14"
"pourrait", "14"
"durable", "14"
"paul", "14"
"réussi", "14"
"séance", "14"
"faudrait", "14"
"avions", "14"
"prochain", "14"
"propagande", "14"
"enquête", "14"
"procès", "14"
"résistance", "14"
"matériel", "13"
"admirable", "13"
"haine", "13"
"commencement", "13"
"diplomatie", "13"
"publique", "13"
"revanche", "13"
"généraux", "13"
"louis", "13"
"responsabilité", "13"
"face", "13"
"échec", "13"
"difficultés", "13"
"océan", "13"
"organiser", "13"
"menace", "13"
"deuil", "13"
"repousser", "13"
"champ", "13"
"ensemble", "13"
"secret", "13"
"an", "13"
"voit", "13"
"conditions", "13"
"amérique", "13"
"ennemis", "13"
"fera", "13"
"centaines", "13"
"ème", "13"
"visite", "13"
"prussien", "13"
"déjeuner", "13"
"savez", "13"
"êtes", "13"
"arrondissement", "13"
"secrétaire", "13"
"fried", "13"
"bruxelles", "13"
"forêt", "13"
"difficile", "12"
"éviter", "12"
"âme", "12"
"fallait", "12"
"sort", "12"
"recommencer", "12"
"house", "12"
"personnelle", "12"
"essayer", "12"
"victimes", "12"
"facile", "12"
"etc…", "12"
"châtiment", "12"
"occasion", "12"
"armes", "12"
"chef", "12"
"impérialisme", "12"
"février", "12"
"fort", "12"
"crimes", "12"
"mensonge", "12"
"sorte", "12"
"protestation", "12"
"réserve", "12"
"tomber", "12"
"fallu", "12"
"washington", "12"
"entendre", "12"
"sacrifices", "12"
"unis", "12"
"route", "12"
"nord", "12"
"faite", "12"
"fruits", "12"
"travaux", "12"
"mamers", "12"
"attendent", "12"
"viens", "12"
"arme", "12"
"unanime", "12"
"quantité", "12"
"vite", "12"
"chercher", "12"
"russes", "12"
"voyez", "12"
"italie", "12"
"attitude", "12"
"écrire", "12"
"international", "12"
"père", "12"
"tort", "12"
"correspondance", "12"
"auto", "12"
"marine", "12"
"désordre", "12"
"résultats", "12"
"semble", "12"
"chiffre", "12"
"produits", "12"
"pierre", "12"
"loi", "12"
"ère", "12"
"ignorance", "12"
"balkans", "12"
"dimanche", "12"
"sénateur", "12"
"appell", "12"
"cecil", "12"
"painlevé", "12"
"journée", "12"
"fier", "11"
"noble", "11"
"pensé", "11"
"davantage", "11"
"membre", "11"
"universel", "11"
"sauver", "11"
"carrière", "11"
"propre", "11"
"guillaume", "11"
"préparer", "11"
"somme", "11"
"courage", "11"
"conserver", "11"
"impuissance", "11"
"système", "11"
"universelle", "11"
"premières", "11"
"réalité", "11"
"faits", "11"
"épreuves", "11"
"rendu", "11"
"victorieuse", "11"
"entière", "11"
"est-à-dire", "11"
"idéal", "11"
"déclarations", "11"
"signe", "11"
"devenue", "11"
"arrivé", "11"
"exactement", "11"
"haute", "11"
"pleine", "11"
"chemins", "11"
"porter", "11"
"soir", "11"
"fini", "11"
"précieux", "11"
"humaine", "11"
"vin", "11"
"partisans", "11"
"fond", "11"
"différence", "11"
"chacune", "11"
"présente", "11"
"obligé", "11"
"gagner", "11"
"prisonniers", "11"
"sentiments", "11"
"indépendance", "11"
"profité", "11"
"voisins", "11"
"souvenir", "11"
"etrangères", "11"
"demain", "11"
"généreux", "11"
"avis", "11"
"parlé", "11"
"veulent", "11"
"bloc", "11"
"ligue", "11"
"texte", "11"
"habitants", "11"
"petite", "11"
"seraient", "11"
"collaborateurs", "11"
"creans", "11"
"fr", "11"
"liste", "11"
"élu", "11"
"poursuivre", "11"
"principe", "11"
"frais", "11"
"ai-je", "11"
"dépit", "11"
"associations", "11"
"comte", "11"
"essentiel", "10"
"meilleurs", "10"
"expérience", "10"
"reims", "10"
"dirigeants", "10"
"appel", "10"
"orgueil", "10"
"dois", "10"
"aurais", "10"
"ii", "10"
"énergie", "10"
"esprits", "10"
"établir", "10"
"impôts", "10"
"sommaire", "10"
"sanction", "10"
"courant", "10"
"attend", "10"
"amitié", "10"
"reconnaître", "10"
"demandé", "10"
"pires", "10"
"pouvons", "10"
"espère", "10"
"exécutif", "10"
"ouvrir", "10"
"plaisir", "10"
"dernière", "10"
"collègues", "10"
"production", "10"
"madame", "10"
"travers", "10"
